feature,button_w,button_no,vocal_w,vocal_no,mean_importance
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,6.571428571431199e-05,0.000781642857142605,0.006644024390241055,0.004244333333334333,0.0029339287166080764
mfcc_sma[4]_quartile2 numeric,0.0018314285714293038,0.00165038095238042,0.006541585365850855,0.00043714285714296,0.002615134436700885
pcm_RMSenergy_sma_de_lpc4 numeric,6.0714285714309994e-05,0.000222166666666595,0.0059918292682901155,0.0027888095238101803,0.0022658799361203004
mfcc_sma[4]_percentile1.0 numeric,0.0036957142857157637,0.001106404761904405,0.00034658536585351,0.003906761904762824,0.0022638665795591253
pcm_RMSenergy_sma_de_lpc1 numeric,0.0,8.783333333330499e-05,0.007207439024387156,0.0016538571428575321,0.002237282375144498
mfcc_sma[4]_rqmean numeric,0.00714785714286,0.001469547619047145,4.439024390242e-05,0.00010119047619050001,0.002190746370500016
audSpec_Rfilt_sma_de[4]_risetime numeric,6.1428571428596e-05,0.000171976190476135,0.007255243902435915,0.001241809523809816,0.0021826145470376155
mfcc_sma[4]_quartile1 numeric,0.002222142857143746,0.00156328571428521,0.00409243902438849,0.000543190476190604,0.0021052645180020123
mfcc_sma[4]_quartile3 numeric,0.000485000000000194,0.002194357142856435,0.00537634146341233,0.00036347619047627603,0.002104793699186309
pcm_RMSenergy_sma_de_lpc3 numeric,0.0,0.00012842857142853,0.005875731707314555,0.002380809523810084,0.002096242450638292
pcm_RMSenergy_sma_de_lpc2 numeric,0.00015857142857149203,7.6023809523785e-05,0.005747682926826805,0.002306333333333876,0.0020721528745639897
mfcc_sma[14]_flatness numeric,0.00013214285714291,0.00035133333333321997,0.006026829268290099,0.0014571428571432,0.0019918620789773573
audSpec_Rfilt_sma_de[4]_quartile1 numeric,0.00021071428571437,0.0,0.0014956097560969198,0.005547666666667972,0.0018134976771198156
mfcc_sma[6]_peakMeanMeanDist numeric,0.00020714285714294,0.0,0.0,0.006977285714287356,0.0017961071428575742
mfcc_sma[6]_lpc3 numeric,0.00016642857142863798,0.0,0.003335243902437595,0.003538428571429404,0.0017600252613239093
audSpec_Rfilt_sma_de[9]_iqr2-3 numeric,0.001513571428572034,0.002129404761904075,0.0018652439024382252,0.001494380952381304,0.0017506502613239094
pcm_fftMag_spectralSlope_sma_de_peakRangeRel numeric,0.006609285714288358,0.000158690476190425,8.365853658532999e-05,0.000120619047619076,0.0017430634436707974
mfcc_sma[5]_amean numeric,0.000255714285714388,0.00629299999999797,3.926829268291e-05,0.00018861904761909202,0.00169415040650359
mfcc_sma[5]_quartile3 numeric,9.4285714285752e-05,0.006465714285712199,0.000185243902438945,0.0,0.0016863109756092237
pcm_RMSenergy_sma_lpc2 numeric,9.0000000000036e-05,0.00036609523809512,0.0,0.005845571428572804,0.00157541666666699
mfcc_sma[8]_lpc4 numeric,0.00032214285714298596,2.361904761904e-05,0.002295487804877065,0.003416190476191281,0.001514360046457593
mfcc_sma[2]_lpc3 numeric,0.000787857142857458,3.395238095237e-05,0.00251829268292575,0.0025589047619053638,0.0014747517421602355
mfcc_sma_de[11]_peakRangeAbs numeric,0.00039285714285730003,0.00539399999999826,7.170731707314e-05,3.7238095238104e-05,0.001473950638791701
logHNR_sma_pctlrange0-1 numeric,0.000102857142857184,5.314285714284e-05,0.0016893902439017148,0.003992571428572368,0.0014594904181185267
mfcc_sma[5]_quartile1 numeric,7.7857142857174e-05,0.0040359047619034595,0.000979146341462995,0.000663000000000156,0.001438977061555946
logHNR_sma_percentile99.0 numeric,0.0,2.657142857142e-05,0.00061975609756071,0.005004476190477368,0.0014127009291523746
pcm_RMSenergy_sma_de_lpc0 numeric,2.7142857142868e-05,3.247619047618e-05,0.003654512195120385,0.0018149523809528082,0.0013822709059230602
mfcc_sma[4]_amean numeric,0.0009664285714289579,0.00067166666666645,0.003048414634145035,0.000742333333333508,0.0013572108013934878
mfcc_sma[6]_rqmean numeric,0.000141428571428628,0.000322547619047515,0.001197682926828755,0.0037149047619056364,0.0013441409698026336
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,0.0,7.085714285712e-05,0.0032362195121937347,0.002062666666667152,0.0013424358304295015
mfcc_sma[2]_lpc0 numeric,0.0007928571428574599,0.00014835714285709497,0.00417097560975431,0.000251761904761964,0.001340987950057707
mfcc_sma[6]_pctlrange0-1 numeric,0.00048000000000019197,0.0,0.000803292682926485,0.004053285714286668,0.0013341445993033363
mfcc_sma[8]_flatness numeric,0.002570714285715314,0.00071152380952358,0.001175487804877545,0.0008500000000002,0.0013269314750291596
mfcc_sma_de[10]_peakRangeAbs numeric,0.0,0.00021847619047611998,0.00444756097560785,0.000620095238095384,0.0013215331010448385
mfcc_sma[9]_linregc1 numeric,0.004970000000001988,3.099999999999e-05,0.00016390243902432,0.000104428571428596,0.0013173327526137233
audSpec_Rfilt_sma[4]_iqr1-2 numeric,2.7142857142868e-05,0.00031738095238085,0.0019984146341454853,0.0028721904761911518,0.0013037822299650887
mfcc_sma[9]_centroid numeric,0.0,0.0,0.00015707317073164,0.004952666666667833,0.0012774349593498682
audspec_lengthL1norm_sma_maxPos numeric,0.005009285714287717,0.0,0.0,7.285714285716e-05,0.0012705357142862193
mfcc_sma[5]_quartile2 numeric,0.00012857142857148,0.004091261904760585,0.0005352439024387949,0.00027523809523816,0.0012575788327522548
audSpec_Rfilt_sma[4]_percentile99.0 numeric,0.000227857142857234,0.000334357142857035,0.00209317073170642,0.0023605714285719844,0.0012539891114981684
audSpec_Rfilt_sma[4]_quartile1 numeric,0.00042642857142874196,0.00023102380952373498,0.0032387804878034896,0.001082333333333588,0.0012446415505223886
pcm_RMSenergy_sma_lpc0 numeric,0.0,0.0,0.00028682926829256,0.004683904761905865,0.0012426835075496061
pcm_fftMag_spectralHarmonicity_sma_stddevFallingSlope numeric,0.00021928571428580197,2.361904761904e-05,0.00404463414633973,0.000656523809523964,0.001236015679442134
mfcc_sma[2]_lpc2 numeric,0.0,0.000408166666666535,0.001798658536584595,0.002669809523810152,0.0012191586817653205
F0final_sma_de_percentile99.0 numeric,8.428571428574799e-05,6.495238095236e-05,0.0,0.004716285714286824,0.0012163809523812329
mfcc_sma_de[10]_iqr1-2 numeric,0.0,0.00010111904761901502,0.0025387804878037896,0.002205142857143376,0.001211260598141545
mfcc_sma_de[3]_upleveltime25 numeric,0.002526428571429582,0.001840071428570835,0.0,0.000403952380952476,0.0011926130952382233
audSpec_Rfilt_sma_de[4]_pctlrange0-1 numeric,8.642857142860599e-05,0.0,0.0026770731707305598,0.0019574285714290323,0.0011802325783970497
mfcc_sma[13]_range numeric,0.004616428571430417,3.542857142856e-05,4.0121951219495e-05,0.0,0.0011729947735196183
audSpec_Rfilt_sma_de[9]_quartile3 numeric,0.00033142857142870393,0.0020341904761898197,0.00228439024390146,0.0,0.001162502322879996
audSpec_Rfilt_sma[4]_percentile1.0 numeric,0.0006385714285716839,0.0,0.0027547560975597954,0.001160857142857416,0.0011385461672472237
pcm_fftMag_spectralFlux_sma_de_meanRisingSlope numeric,0.00036285714285728797,0.0,0.00414365853658359,0.0,0.0011266289198602194
audSpec_Rfilt_sma_de[4]_iqr1-2 numeric,0.000157857142857206,0.0,0.0038918292682910156,0.000408000000000096,0.0011144216027870794
mfcc_sma[14]_quartile1 numeric,0.0,0.001162499999999625,0.00266682926829154,0.0006160476190477641,0.0011113442218347322
mfcc_sma_de[14]_minRangeRel numeric,0.00024642857142867004,0.0016311904761899501,0.002466219512194065,0.00010119047619050001,0.0011112572590007963
mfcc_sma_de[14]_lpc3 numeric,0.0031950000000012775,0.0003247619047618,0.00076317073170699,0.00015380952380956,0.001109185540069907
mfcc_sma[13]_meanPeakDist numeric,0.004210000000001684,0.00010259523809520499,0.00011353658536580501,0.0,0.0011065329558656734
audSpec_Rfilt_sma_de[7]_quartile2 numeric,6.0000000000023996e-05,0.00431638095237956,4.0121951219495e-05,0.0,0.0011041257258997696
mfcc_sma[4]_lpc0 numeric,0.001947142857143636,0.002000976190475545,0.0,0.00043066666666676803,0.0010946964285714874
mfcc_sma[7]_lpc2 numeric,0.000277142857142968,0.000251690476190395,0.002051341463413755,0.0017947142857147084,0.0010937222706154566
pcm_fftMag_spectralEntropy_sma_de_risetime numeric,0.001818571428572156,0.0022903095238087853,0.000265487804877935,0.0,0.001093592189314719
mfcc_sma[6]_flatness numeric,9.0000000000036e-05,7.159523809521499e-05,3.926829268291e-05,0.004139095238096213,0.0010849896922185934
mfcc_sma_de[9]_flatness numeric,0.0,6.790476190474e-05,0.004004512195120235,0.00022261904761910003,0.0010737590011610188
mfcc_sma_de[8]_pctlrange0-1 numeric,0.00013285714285719602,0.0,0.003925975609754415,0.00014733333333336802,0.0010515415214862448
mfcc_sma_de[7]_stddevFallingSlope numeric,0.0019685714285722156,0.00176257142857086,0.00031756097560962004,8.742857142859202e-05,0.001034033101045322
mfcc_sma_de[11]_upleveltime75 numeric,0.000227142857142948,0.0035280952380940997,0.00031243902439011,0.0,0.0010169192799067894
mfcc_sma_de[3]_lpc1 numeric,0.000570000000000228,0.0,0.0028401219512182952,0.000654904761904916,0.0010162566782808598
mfcc_sma[3]_lpc1 numeric,0.0011128571428575878,0.0,0.002164024390242975,0.0007803809523811361,0.0010143156213704247
