feature,button_w,button_no,vocal_w,vocal_no,mean_importance
audSpec_Rfilt_sma_de[4]_risetime numeric,0.0,7.314285714288e-05,0.01253853658536048,0.002115928571427802,0.0036819020034827904
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,0.000246714285714196,0.0006323809523811501,0.005632439024387831,0.006877357142854643,0.0033472228513344547
audSpec_Rfilt_sma[4]_rqmean numeric,0.00020192857142849798,0.00011580952380956,0.0024167073170721348,0.00923999999999664,0.0029936113530767083
audSpec_Rfilt_sma[4]_amean numeric,0.00040778571428556605,0.00048685714285729494,0.0031926829268279,0.006625928571426162,0.0026783135888492305
audSpec_Rfilt_sma_de[4]_posamean numeric,0.000368499999999866,0.00033752380952391497,0.005510365853656175,0.004147785714284206,0.0025910438443660405
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,0.0,0.0,0.00265146341463301,0.00769214285714006,0.0025859015679432678
audSpec_Rfilt_sma_de[4]_pctlrange0-1 numeric,0.000135142857142808,0.00064304761904782,0.00475999999999796,0.004229499999998462,0.0024419226190467627
audSpec_Rfilt_sma[4]_percentile1.0 numeric,0.0,0.000102857142857175,0.00388756097560809,0.0055031428571408565,0.0023733902439015304
mfcc_sma[4]_amean numeric,0.002551999999999072,0.0018499047619053401,0.0037339024390227902,0.001000214285713922,0.002284005371660281
pcm_fftMag_spectralRollOff25.0_sma_amean numeric,0.001985499999999278,0.0,0.005891097560973086,7.3071428571402e-05,0.0019874172473859416
audSpec_Rfilt_sma[4]_stddev numeric,0.00028599999999989604,6.247619047621e-05,0.002775243902437835,0.004703285714284004,0.0019567514517994863
mfcc_sma[5]_quartile2 numeric,0.00022864285714277403,0.005631238095239855,0.000374756097560815,0.001181714285713856,0.0018540878339143249
audSpec_Rfilt_sma[4]_flatness numeric,3.6928571428558e-05,0.00014933333333338,0.001233536585365325,0.005921142857140705,0.001835235336816992
mfcc_sma[4]_quartile1 numeric,0.0026627857142847463,0.00131961904761946,0.00292292682926704,0.000325285714285596,0.0018076543263642105
mfcc_sma[4]_lpc0 numeric,0.00473785714285542,0.002260571428572135,0.0,0.0,0.0017496071428568889
