feature,button_w,button_no,vocal_w,vocal_no,mean_importance
audSpec_Rfilt_sma_de[4]_risetime numeric,0.0,0.00011090476190478802,0.01193585365853147,0.0015918571428565642,0.0034096538908232055
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,0.0010054285714288082,3.7238095238104e-05,0.00429390243902255,0.0068647857142832185,0.0030503387049931703
audSpec_Rfilt_sma_de[4]_posamean numeric,0.0,0.0015939523809527564,0.007253536585362745,0.0028937857142846616,0.0029353186701500406
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,0.00022666666666672,0.0008500000000002,0.005539390243900065,0.004267214285712734,0.0027208177990699295
audSpec_Rfilt_sma[4]_percentile99.0 numeric,7.7714285714304e-05,0.0,0.00560512195121711,0.004489571428569796,0.0025431019163753028
mfcc_sma[4]_percentile1.0 numeric,0.00442000000000104,0.003696285714286584,0.0,0.001778071428570782,0.0024735892857146017
audSpec_Rfilt_sma_de[4]_rqmean numeric,0.000415285714285812,0.000625761904762052,0.0042853658536567,0.004526499999998354,0.0024632283681757295
audSpec_Rfilt_sma[4]_amean numeric,0.000260666666666728,0.0008678095238097281,0.002343292682925825,0.006306928571426278,0.0024446743612071397
pcm_RMSenergy_sma_de_lpc3 numeric,0.0,7.690476190478e-05,0.005872317073168216,0.0035443571428558545,0.0023733947444822124
audSpec_Rfilt_sma[4]_percentile1.0 numeric,8.3380952380972e-05,0.00044442857142867605,0.0028845121951207153,0.00578285714285504,0.002298794715446351
audSpec_Rfilt_sma[4]_stddev numeric,0.000225857142857196,0.0,0.00224853658536489,0.005808785714283602,0.002070794860626422
mfcc_sma[5]_quartile1 numeric,0.000645190476190628,0.0059920952380966485,0.001303536585365295,0.00027107142857133,0.0020529734320559757
audSpec_Rfilt_sma[4]_flatness numeric,0.0,3.4000000000008e-05,0.00122414634146289,0.006837285714283228,0.0020238580139365315
pcm_RMSenergy_sma_de_lpc4 numeric,0.00010280952380954801,0.000531047619047744,0.0062154878048753855,0.0011542142857138662,0.002000889808361636
mfcc_sma[4]_rqmean numeric,0.003659047619048481,0.001882952380952824,0.0,0.002073499999999246,0.0019038750000001377
audSpec_Rfilt_sma_de[4]_pctlrange0-1 numeric,0.000537523809523936,0.00020238095238100002,0.0024201219512184754,0.004412571428569823,0.0018931495354233088
mfcc_sma[4]_quartile1 numeric,0.001444190476190816,0.0016651904761908682,0.003876463414632485,0.00037949999999986204,0.0018413360917535076
audSpec_Rfilt_sma[4]_rqmean numeric,0.00047114285714296806,0.00027685714285720803,0.001641585365852955,0.00472214285714114,0.0017779320557485677
mfcc_sma[2]_lpc3 numeric,3.7238095238104e-05,0.00022504761904767199,0.00034317073170716996,0.0063744999999976815,0.0017449891114976568
audSpec_Rfilt_sma_de[4]_stddev numeric,0.000556142857142988,0.0006403333333334841,0.002196463414633205,0.003387214285713054,0.0016950384727056826
mfcc_sma[5]_quartile2 numeric,0.00034971428571436806,0.0060633333333347614,0.0,0.000276571428571328,0.0016724047619051145
mfcc_sma[4]_quartile2 numeric,0.00040638095238104796,0.0019420476190480757,0.003055243902437715,0.000995499999999638,0.001599793118466619
pcm_RMSenergy_sma_de_lpc1 numeric,0.0,0.0,0.004479146341461495,0.0019132142857135903,0.0015980901567937715
mfcc_sma_de[3]_kurtosis numeric,0.0,0.0,0.00530634146341236,0.001037928571428194,0.0015860675087101385
mfcc_sma[13]_range numeric,0.005903047619049008,0.00024042857142862802,0.0,0.0,0.001535869047619409
mfcc_sma[4]_amean numeric,0.0013413809523812681,0.00110904761904788,0.003278902439022985,0.00034571428571416,0.0015187613240415733
audSpec_Rfilt_sma[4]_quartile1 numeric,0.0,0.000429857142857244,0.00353073170731556,0.00209392857142781,0.0015136293554001536
mfcc_sma[5]_percentile1.0 numeric,0.003060809523810244,0.0026358095238101444,0.00023219512195112,0.0,0.0014822035423928772
audSpec_Rfilt_sma_de[4]_lpc0 numeric,0.00032947619047626805,0.0,0.00423585365853477,0.0013569285714280781,0.0014805646051097789
mfcc_sma[4]_quartile3 numeric,0.0009722380952383241,0.002210809523810044,0.00257463414634036,4.399999999998401e-05,0.0014504204413471782
mfcc_sma_de[10]_peakRangeAbs numeric,0.0,0.000260666666666728,0.005389146341461105,0.00010292857142853401,0.001438185394889092
mfcc_sma[6]_peakMeanMeanDist numeric,0.000175666666666708,0.00026228571428577605,0.00029024390243889995,0.004966499999998195,0.0014236740708473946
audSpec_Rfilt_sma_de[9]_iqr2-3 numeric,0.0,0.00223023809523862,0.0009671951219508052,0.002393285714284844,0.0013976797328685672
audSpec_Rfilt_sma_de[4]_quartile1 numeric,0.00037723809523818405,0.00016838095238099203,0.00105512195121906,0.00390107142857001,0.0013754531068520615
mfcc_sma[14]_flatness numeric,0.0,0.000527809523809648,0.0041197560975592094,0.000780214285714002,0.001356944976770715
logHNR_sma_percentile99.0 numeric,0.0,0.00013842857142860402,0.001173780487804375,0.004016571428569968,0.0013321951219507366
mfcc_sma[4]_lpc0 numeric,0.002292571428571968,0.0029822857142864164,0.0,0.0,0.001318714285714596
mfcc_sma_de[11]_peakRangeAbs numeric,9.957142857145201e-05,0.005044142857144045,8.53658536585e-05,3.2214285714274004e-05,0.001315323606272068
mfcc_sma[9]_linregc1 numeric,0.004716285714286824,0.0,0.0,0.000452571428571264,0.001292214285714522
mfcc_sma[6]_lpc2 numeric,0.0018279047619051921,0.0009309523809526001,0.001916463414633325,0.00045964285714269,0.0012837408536584519
mfcc_sma[5]_quartile3 numeric,0.00010038095238097601,0.00472761904762016,0.0002048780487804,3.535714285713e-05,0.0012670587979096667
pcm_fftMag_spectralSlope_sma_de_peakRangeRel numeric,0.004786714285715412,0.0,0.00012975609756092,0.0,0.0012291175958190831
mfcc_sma[5]_peakMeanRel numeric,0.0,0.004685523809524913,0.000134024390243845,4.0857142857128e-05,0.0012151013356564715
pcm_RMSenergy_sma_de_lpc2 numeric,4.04761904762e-05,0.0,0.002951097560974345,0.001835428571427904,0.0012067505807196123
mfcc_sma[8]_lpc4 numeric,3.238095238096e-05,0.00031571428571436003,0.00101585365853615,0.0034461428571416044,0.0012025229384432685
audSpec_Rfilt_sma[12]_maxPos numeric,0.00427428571428672,0.000310857142857216,4.097560975608e-05,6.5214285714262e-05,0.0011728331881535696
logHNR_sma_pctlrange0-1 numeric,0.0,0.00010847619047621601,0.000881829268292305,0.00369678571428437,0.0011717727932632229
mfcc_sma[6]_percentile1.0 numeric,0.000734238095238268,0.0,0.0,0.003946642857141422,0.0011702202380949225
pcm_fftMag_spectralSlope_sma_de_skewness numeric,0.004406238095239132,0.0,0.000135731707317015,0.000138285714285664,0.0011700638792104528
audSpec_Rfilt_sma_de[12]_minPos numeric,0.004493666666667724,0.00018538095238099602,0.0,0.0,0.00116976190476218
audSpec_Rfilt_sma_de[5]_leftctime numeric,0.000565047619047752,0.004105095238096205,0.0,0.0,0.0011675357142859892
mfcc_sma[3]_lpc1 numeric,0.0,0.00014571428571432,0.00399341463414463,0.00048557142857125196,0.0011561750871075505
