feature,button_w,button_no,vocal_w,vocal_no,mean_importance
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,0.0003440476190477,0.00154285714285776,0.00651682926828989,0.00395047619047712,0.0030885525551681177
audSpec_Rfilt_sma[4]_amean numeric,0.000552904761904892,0.00018928571428579,0.0044603658536566245,0.0069602857142873524,0.0030407105110336645
audSpec_Rfilt_sma_de[4]_posamean numeric,0.0005059523809525001,0.000395000000000158,0.005329390243900155,0.004632095238096328,0.0027156094657372854
audSpec_Rfilt_sma_de[4]_risetime numeric,0.000148952380952416,0.0,0.007870731707313701,0.002200285714286232,0.0025549924506380875
audSpec_Rfilt_sma[4]_stddev numeric,0.00032461904761912403,0.0,0.002869146341462185,0.006978095238096881,0.0025429651567945473
audSpec_Rfilt_sma[4]_flatness numeric,0.0,0.000163571428571494,0.0019002439024382101,0.008087142857144762,0.0025377395470386165
audSpec_Rfilt_sma[4]_percentile1.0 numeric,0.00017000000000004002,0.0,0.00158268292682859,0.008116285714287625,0.0024672421602790636
mfcc_sma[14]_flatness numeric,0.0007990000000001881,0.0,0.00731585365853345,0.0015842380952384681,0.0024247729384430264
audSpec_Rfilt_sma_de[4]_pctlrange0-1 numeric,0.000371571428571516,0.000520714285714494,0.00481975609755891,0.0039261904761914,0.00240955807200908
mfcc_sma[5]_quartile1 numeric,9.8761904761928e-05,0.0076285714285744795,0.000333780487804735,0.0011721904761907522,0.0023083260743329737
mfcc_sma[5]_quartile2 numeric,0.000135190476190508,0.007824285714288844,0.000258658536585255,0.000366714285714372,0.0021462122531947445
audSpec_Rfilt_sma_de[4]_quartile1 numeric,0.0,0.0,0.00298951219512067,0.005514476190477489,0.0021259970963995395
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,0.0,0.000220000000000088,0.00374926829268132,0.00452928571428678,0.002124638501742047
pcm_RMSenergy_sma_de_lpc1 numeric,0.000229095238095292,0.000152142857142918,0.006521951219509401,0.001480619047619396,0.0020959520905917514
pcm_fftMag_spectralSlope_sma_de_peakRangeRel numeric,0.007501047619049384,0.000173571428571498,0.0,0.00013114285714288802,0.0019514404761909424
audSpec_Rfilt_sma_de[4]_rqmean numeric,0.000952809523809748,0.000125714285714336,0.0027231707317061497,0.003931047619048544,0.0019331855400696945
mfcc_sma[4]_quartile1 numeric,0.002601809523810136,0.001107857142857586,0.003389878048779035,0.0004573809523810601,0.001889231416956954
audSpec_Rfilt_sma[4]_percentile99.0 numeric,0.000131952380952412,0.0,0.00291780487804753,0.004170666666667648,0.0018051059814168974
audSpec_Rfilt_sma[4]_rqmean numeric,0.00036347619047627603,0.000265000000000106,0.001534024390243245,0.004892761904763056,0.0017638156213706708
mfcc_sma[4]_lpc0 numeric,0.004430523809524852,0.00240714285714382,0.0,0.0,0.0017094166666671681
mfcc_sma[4]_quartile3 numeric,0.00213714285714336,0.001172142857143326,0.003248170731705925,0.000216142857142908,0.0016933998257838796
mfcc_sma[4]_quartile2 numeric,0.000893714285714496,0.001115000000000446,0.00369804878048622,0.001051571428571676,0.0016895836236932096
mfcc_sma[4]_amean numeric,0.0030179047619054724,0.001166428571429038,0.0018729268292674902,0.0006370952380953881,0.001673588850174347
mfcc_sma[4]_rqmean numeric,0.004322047619048636,0.001365714285714832,0.0,0.000847571428571628,0.0016338333333337741
mfcc_sma[6]_lpc3 numeric,0.0,0.000169285714285782,0.0034001219512180547,0.0029118571428578283,0.0016203162020904161
mfcc_sma[2]_lpc3 numeric,0.0009382380952383161,0.000510000000000204,0.000618902439024125,0.004322047619048636,0.0015972970383278202
pcm_fftMag_spectralEntropy_sma_de_skewness numeric,0.00040638095238104796,0.00011785714285718999,6.317073170729e-05,0.0058002380952394605,0.001596911730546247
pcm_RMSenergy_sma_de_lpc2 numeric,3.7238095238104e-05,6.0714285714309994e-05,0.0054429268292659596,0.00077714285714304,0.0015795055168403534
mfcc_sma_de[7]_stddevRisingSlope numeric,0.0058188571428585125,0.00043500000000017396,3.585365853657e-05,0.0,0.001572427700348814
mfcc_sma_de[13]_lpc0 numeric,0.006226857142858608,3.6428571428586e-05,0.0,0.0,0.0015658214285717985
audSpec_Rfilt_sma_de[4]_lpc0 numeric,7.9333333333352e-05,9.4285714285752e-05,0.0039951219512178,0.001850571428571864,0.001504828106852192
pcm_RMSenergy_sma_de_minRangeRel numeric,0.005878761904763288,3.5000000000014e-05,0.0,0.0,0.0014784404761908256
audSpec_Rfilt_sma[4]_leftctime numeric,0.0,0.0,0.00456707317072975,0.0013438095238098402,0.0014777206736348975
audSpec_Rfilt_sma[4]_quartile1 numeric,0.00038371428571437605,3.4285714285728e-05,0.002580609756096455,0.0028487142857149556,0.0014618310104528788
pcm_fftMag_spectralRollOff25.0_sma_rqmean numeric,0.0020950476190481123,0.00041857142857159603,0.003237926829266905,4.209523809524801e-05,0.0014484102787454655
mfcc_sma[5]_quartile3 numeric,7.0428571428588e-05,0.005160714285716349,0.00040634146341445997,9.795238095240401e-05,0.0014338591753779502
mfcc_sma[4]_percentile99.0 numeric,0.001600428571428948,0.002774285714286824,0.0010090243902434702,0.000340809523809604,0.0014311370499422117
audSpec_Rfilt_sma_de[4]_lpc3 numeric,0.000916380952381168,0.0,0.004564512195119995,0.00020076190476195203,0.001420413763065779
audSpec_Rfilt_sma_de[9]_iqr2-3 numeric,0.000876714285714492,0.00121785714285763,0.0034965853658521597,0.0,0.0013977891986060704
audSpec_Rfilt_sma_de[4]_stddev numeric,0.0007455714285716041,0.000175714285714356,0.0016637804878041648,0.002964476190476888,0.0013873855981417532
mfcc_sma[5]_amean numeric,0.00021209523809528804,0.004581428571430404,0.000475487804877845,0.000272000000000064,0.0013852529036009003
pcm_RMSenergy_sma_de_lpc3 numeric,0.0,0.0,0.0047429268292662604,0.0006751428571430161,0.0013545174216023192
mfcc_sma[4]_lpc3 numeric,0.001346238095238412,0.002772142857143966,0.000629146341463145,0.000564238095238228,0.0013279413472709377
pcm_RMSenergy_sma_lpc2 numeric,0.0,0.00016785714285721002,0.000229634146341365,0.004904095238096392,0.0013253966318237417
mfcc_sma[5]_percentile1.0 numeric,0.002333047619048168,0.002955714285715468,0.0,0.0,0.0013221904761909092
