feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[8]_flatness numeric,0.001305947368420182,0.000269230769231,0.0017307692307700002,0.0029335294117664662,0.001559869195046912
audSpec_Rfilt_sma_de[4]_quartile1 numeric,0.000428210526315504,0.000269230769231,0.00034615384615400003,0.0038123529411787584,0.0012139870207198155
mfcc_sma[4]_quartile2 numeric,0.0009369473684204281,0.000538461538462,0.0013846153846160001,0.0017382352941186902,0.0011495648964042796
mfcc_sma_de[6]_range numeric,0.0,0.0007301538461544719,0.0,0.003447647058825598,0.0010444502262450174
mfcc_sma[4]_quartile3 numeric,0.000189947368420926,0.000538461538462,0.002423076923078,0.000916470588235844,0.0010169891045491925
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,0.0,0.0,0.001038461538462,0.0027464705882369418,0.0009462330316747354
mfcc_sma[4]_quartile1 numeric,0.000597789473683812,0.000269230769231,0.002076923076924,0.0006888235294121781,0.0009081917123127476
mfcc_sma[13]_meanPeakDist numeric,0.00180236842105143,0.000269230769231,0.0013846153846160001,6.2352941176508e-05,0.0008796418790187346
audSpec_Rfilt_sma_de[9]_iqr2-3 numeric,0.00023210526315774,0.0,0.0,0.003268823529413726,0.0008752321981428666
shimmerLocal_sma_iqr1-2 numeric,0.0,0.0035000000000029994,0.0,0.0,0.0008750000000007499
mfcc_sma[5]_meanRisingSlope numeric,0.0,0.0035000000000029994,0.0,0.0,0.0008750000000007499
audSpec_Rfilt_sma_de[4]_iqr2-3 numeric,0.0,0.000269230769231,0.0,0.0031464705882371822,0.0008539253393670456
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,0.00023873684210510402,0.000269230769231,0.002423076923078,0.00046000000000027605,0.000847761133603595
audSpec_Rfilt_sma[14]_qregc3 numeric,0.0,0.000269230769231,0.003115384615386,0.0,0.0008461538461542501
pcm_fftMag_spectralRollOff25.0_sma_quartile1 numeric,0.001426263157893786,0.0,0.00034615384615400003,0.0014705882352950002,0.0008107513098356966
audSpec_Rfilt_sma[4]_linregc2 numeric,0.0,0.00046684615384655397,0.0027692307692320003,0.0,0.0008090192307696385
mfcc_sma[8]_quartile1 numeric,0.000565105263157518,0.0,0.0017307692307700002,0.000887647058824062,0.000795880388187895
mfcc_sma[3]_lpc3 numeric,0.002569263157893024,0.000538461538462,0.0,6.176470588239e-05,0.0007923723505593535
audSpec_Rfilt_sma_de[2]_quartile2 numeric,0.0,0.00269230769231,0.0,0.000412941176470836,0.000776312217195209
mfcc_sma[6]_amean numeric,4.499999999997e-05,0.0,0.002076923076924,0.0009694117647064639,0.0007728337104076085
mfcc_sma_de[6]_peakDistStddev numeric,0.000189947368420926,0.001993384615386324,0.0,0.000882352941177,0.0007664212312460624
audspec_lengthL1norm_sma_de_stddevRisingSlope numeric,0.0,0.0,0.0027692307692320003,0.000294117647059,0.0007658371040727501
pcm_fftMag_fband250-650_sma_de_segLenStddev numeric,0.0,0.0030390769230795277,0.0,0.0,0.0007597692307698819
mfcc_sma[4]_peakMeanAbs numeric,0.000154894736842002,0.000538461538462,0.002076923076924,0.000231764705882492,0.0007505110145276236
mfcc_sma[13]_range numeric,0.00190894736841978,0.001076923076924,0.0,0.0,0.000746467611335945
audspec_lengthL1norm_sma_quartile2 numeric,0.0017791578947356562,0.00019653846153862997,0.00034615384615400003,0.0006305882352944961,0.0007381096094306956
audSpec_Rfilt_sma_de[4]_iqr1-3 numeric,0.0,0.0,0.00034615384615400003,0.00258529411764861,0.0007328619909506525
pcm_fftMag_spectralHarmonicity_sma_qregc2 numeric,0.00048694736842072795,0.0024230769230789997,0.0,0.0,0.0007275060728749319
mfcc_sma[2]_linregerrQ numeric,4.9263157894704004e-05,0.0,0.001038461538462,0.0018094117647069682,0.0007242841152659181
shimmerLocal_sma_iqr1-3 numeric,0.000375157894736592,0.0024230769230789997,0.0,0.0,0.0006995587044538979
audSpec_Rfilt_sma_de[4]_meanFallingSlope numeric,0.0,0.0,0.0027692307692320003,0.0,0.0006923076923080001
mfcc_sma[9]_peakMeanMeanDist numeric,0.00018331578947356202,0.001346153846155,0.0006923076923080001,0.000525882352941492,0.0006869149202195135
pcm_fftMag_psySharpness_sma_quartile1 numeric,0.00043199999999971197,0.00019761538461555398,0.001038461538462,0.001042352941177096,0.0006776074660635905
mfcc_sma[8]_amean numeric,0.0005968421052627601,0.0,0.0006923076923080001,0.0014176470588243802,0.0006766992140987851
audSpec_Rfilt_sma_de[18]_meanFallingSlope numeric,0.000273789473684028,0.0,0.002423076923078,0.0,0.000674216599190507
audspec_lengthL1norm_sma_de_stddevFallingSlope numeric,0.0,0.00018200000000015597,0.002423076923078,8.941176470593601e-05,0.000673622171946023
F0final_sma_quartile1 numeric,0.000195157894736712,0.0,0.0013846153846160001,0.0010376470588241522,0.0006543550845442162
audspec_lengthL1norm_sma_pctlrange0-1 numeric,0.00015347368421042402,0.0,0.002423076923078,0.0,0.000644137651822106
pcm_fftMag_spectralVariance_sma_de_lpc0 numeric,0.0,0.0022803846153865697,0.0,0.000294117647059,0.0006436255656113925
mfcc_sma[4]_amean numeric,0.0,0.00019761538461555398,0.002076923076924,0.000294117647059,0.0006421640271496386
audSpec_Rfilt_sma_de[24]_percentile1.0 numeric,0.0,0.0,0.002423076923078,0.000142352941176556,0.000641357466063639
mfcc_sma[11]_upleveltime90 numeric,4.9263157894704004e-05,0.0024166153846174564,0.0,6.9411764705924e-05,0.0006338225768045212
pcm_fftMag_spectralRollOff75.0_sma_de_stddevFallingSlope numeric,0.0,0.002153846153848,0.0,0.00037411764705904803,0.000631990950226762
mfcc_sma_de[7]_stddevFallingSlope numeric,0.001354263157893834,0.001148538461539446,0.0,0.0,0.0006257004048583199
mfcc_sma[6]_quartile1 numeric,0.000620052631578534,0.0,0.0006923076923080001,0.001176470588236,0.0006222077280306336
audSpec_Rfilt_sma_de[18]_range numeric,0.0,0.0,0.002423076923078,6.470588235298e-05,0.000621945701357745
mfcc_sma[4]_range numeric,0.0017725263157882922,0.0,0.00034615384615400003,0.00035588235294139,0.0006186406287209206
mfcc_sma_de[6]_upleveltime25 numeric,7.3894736842056e-05,0.00034084615384644595,0.0,0.00204411764706005,0.000614714634437138
audSpec_Rfilt_sma[4]_peakMeanAbs numeric,0.00021599999999985598,0.0,0.002076923076924,0.00011117647058830199,0.0006010248868780396
pcm_fftMag_spectralHarmonicity_sma_minRangeRel numeric,0.000191368421052504,0.0,0.00034615384615400003,0.0018552941176481722,0.000598204096213669
audSpec_Rfilt_sma[6]_lpc4 numeric,0.00019989473684197198,0.002153846153848,0.0,0.0,0.000588435222672493
audSpec_Rfilt_sma[3]_lpc4 numeric,4.4526315789444e-05,0.002066076923078694,0.0,0.00023764705882367202,0.0005870625744229525
pcm_fftMag_spectralRollOff25.0_sma_quartile3 numeric,0.0009629999999993578,0.0,0.0013846153846160001,0.0,0.0005869038461538394
mfcc_sma[14]_flatness numeric,0.0,0.0,0.0017307692307700002,0.0006029411764709501,0.0005834276018102376
mfcc_sma[8]_quartile2 numeric,0.00041352631578919807,0.0,0.0,0.001918235294118798,0.000582940402476999
mfcc_sma[9]_centroid numeric,0.000187578947368296,0.0,0.0,0.00213235294117775,0.0005799829721365115
mfcc_sma[8]_lpc2 numeric,0.0,0.0,0.0,0.0023123529411778585,0.0005780882352944646
audSpec_Rfilt_sma[4]_iqr1-3 numeric,0.00023684210526300002,0.000269230769231,0.001038461538462,0.000751176470588686,0.0005739277208861715
