feature,button_w,button_no,vocal_w,vocal_no,mean_importance
audSpec_Rfilt_sma[4]_flatness numeric,0.000248000000000031,0.0,0.001538461538462,0.005899882352937423,0.0019215859728498633
audSpec_Rfilt_sma[4]_percentile99.0 numeric,0.00021052631578950001,0.0,0.000769230769231,0.006637529411760482,0.0019043216241952455
audSpec_Rfilt_sma[4]_amean numeric,0.0,0.0,0.0026923076923085,0.004436235294114824,0.001782135746605831
audSpec_Rfilt_sma_de[4]_percentile1.0 numeric,0.000173052631578969,0.0,0.0042307692307705,0.002183176470586846,0.0016467495832340785
audSpec_Rfilt_sma_de[4]_flatness numeric,0.000170526315789495,0.0,0.0019230769230775,0.004178705882350282,0.0015680772803043192
audSpec_Rfilt_sma[4]_percentile1.0 numeric,0.00017010526315791602,0.0,0.001538461538462,0.004377999999997214,0.0015216417004042825
audSpec_Rfilt_sma[4]_lpc0 numeric,0.0003368421052632,0.000230769230769,0.003076923076924,0.002435529411763156,0.0015200159561798389
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,0.0,0.0,0.001538461538462,0.004046058823526837,0.0013961300904972093
audSpec_Rfilt_sma[4]_stddev numeric,0.0,0.0,0.002307692307693,0.0030282352941157203,0.00133398190045218
audSpec_Rfilt_sma_de[4]_posamean numeric,0.000168842105263179,0.0,0.000769230769231,0.004324294117644307,0.0013155917480346215
audSpec_Rfilt_sma_de[4]_risetime numeric,0.0,0.0,0.000769230769231,0.004399352941173671,0.0012921459276011677
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,4.378947368421601e-05,0.000230769230769,0.0003846153846155,0.004282235294114922,0.0012353523457959096
audSpec_Rfilt_sma[5]_minPos numeric,0.004546526315790042,0.0,0.0,6.794117647054501e-05,0.0011536168730651468
audSpec_Rfilt_sma[4]_lpgain numeric,4.0000000000005e-05,0.0,0.0003846153846155,0.003902411764703399,0.0010817567873297258
mfcc_sma[8]_quartile2 numeric,0.002099789473684473,0.0,0.0003846153846155,0.001796882352940033,0.0010703218028100016
audSpec_Rfilt_sma_de[4]_peakMeanAbs numeric,0.0,0.0,0.0034615384615394994,0.000819176470587714,0.0010701787330318034
pcm_fftMag_spectralRollOff25.0_sma_meanRisingSlope numeric,0.000170526315789495,0.0,0.003846153846155,0.0,0.0010041700404861238
audSpec_Rfilt_sma_de[4]_stddev numeric,0.00038063157894741603,0.0,0.000769230769231,0.0028651764705864124,0.0010037597046912072
audSpec_Rfilt_sma[4]_rqmean numeric,0.000152000000000019,0.0,0.000769230769231,0.0030372941176451257,0.000989631221719036
audSpec_Rfilt_sma[19]_lpc3 numeric,0.0,0.0,0.000769230769231,0.003147294117645056,0.000979131221719014
mfcc_sma[5]_quartile3 numeric,4.0000000000005e-05,0.003461538461535,0.0003846153846155,0.0,0.0009715384615376262
mfcc_sma[6]_lpc2 numeric,0.001101473684210664,6.230769230763e-05,0.002307692307693,0.0003235294117645,0.0009487507739939485
mfcc_sma[8]_amean numeric,0.001297684210526478,0.000164307692307528,0.0011538461538465,0.00115823529411691,0.0009435183376993541
pcm_fftMag_spectralEntropy_sma_de_skewness numeric,0.0,0.0,0.0,0.003745823529409381,0.0009364558823523453
audSpec_Rfilt_sma_de[4]_iqr2-3 numeric,0.0,0.0,0.0,0.0037018235294094095,0.0009254558823523524
mfcc_sma[2]_lpc3 numeric,0.0014206315789475463,0.000230769230769,0.001538461538462,0.000448411764705597,0.0009095685282210358
mfcc_sma[5]_quartile2 numeric,0.00015705263157896702,0.003230769230766,0.0,0.000247176470588078,0.0009087495832332613
audSpec_Rfilt_sma_de[4]_lpc1 numeric,0.0,7.4769230769156e-05,0.0019230769230775,0.001633823529410725,0.0009079174208143452
pcm_fftMag_spectralRollOff25.0_sma_rqmean numeric,0.0012282105263159433,0.0,0.002307692307693,0.0,0.0008839757085022358
