feature,button_w,button_no,vocal_w,vocal_no,mean_importance
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,0.0,0.0,0.00034615384615400003,0.008823529411762501,0.002292420814479125
audSpec_Rfilt_sma[4]_percentile99.0 numeric,0.0,0.000230769230769,0.002076923076924,0.0065816470588218835,0.002222334841628721
audSpec_Rfilt_sma[4]_percentile1.0 numeric,0.00023684210526300002,0.0,0.0013846153846160001,0.0052941176470575,0.001728893784234125
pcm_fftMag_spectralEntropy_sma_de_meanPeakDist numeric,0.003309631578945162,0.0,0.001038461538462,0.002395764705881754,0.001685964455822229
audSpec_Rfilt_sma[4]_peakMeanMeanDist numeric,0.00038368421052606,0.0,0.0013846153846160001,0.004898823529410541,0.0016667807811381501
pcm_fftMag_spectralRollOff25.0_sma_meanRisingSlope numeric,0.0,0.0025384615384589997,0.0027692307692320003,0.0,0.00132692307692275
audSpec_Rfilt_sma[4]_peakMeanAbs numeric,0.0,0.0,0.0017307692307700002,0.0032407058823521306,0.0012428687782805327
mfcc_sma_de[6]_range numeric,0.0,0.0014196923076908881,0.0,0.00341647058823444,0.0012090407239813321
audSpec_Rfilt_sma_de[4]_quartile1 numeric,0.0,0.0,0.0,0.004783058823528217,0.0011957647058820542
audSpec_Rfilt_sma[4]_rqmean numeric,8.3368421052576e-05,0.0,0.0006923076923080001,0.003994588235293119,0.0011925660871634236
audSpec_Rfilt_sma[4]_flatness numeric,0.0,0.0,0.0013846153846160001,0.003380470588234449,0.0011912714932126123
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,0.0,0.0,0.001130538461538964,0.003612705882352038,0.0011858110859727506
pcm_fftMag_spectralEntropy_sma_de_peakDistStddev numeric,0.0020287894736828577,0.0,0.0013846153846160001,0.0013178823529408472,0.0011828218028099263
audSpec_Rfilt_sma_de[22]_lpc4 numeric,0.0,0.0,0.0034615384615400003,0.0012536470588232161,0.001178796380090804
audSpec_Rfilt_sma_de[4]_posamean numeric,8.194736842099801e-05,0.0,0.002423076923078,0.002095058823528888,0.0011500207787569715
pcm_zcr_sma_stddevRisingSlope numeric,0.004413315789470742,0.000164307692307528,0.0,0.0,0.0011444058704445676
pcm_fftMag_spectralRollOff50.0_sma_quartile2 numeric,0.000618631578946956,0.0,0.0034615384615400003,0.0003529411764705,0.0011082778042393643
audSpec_Rfilt_sma_de[4]_stddev numeric,0.0,0.0,0.0006923076923080001,0.00372705882352848,0.00110484162895912
shimmerLocal_sma_iqr1-2 numeric,0.000236368421052474,0.003758769230765472,0.00034615384615400003,7.4823529411746e-05,0.0011040287568459231
audSpec_Rfilt_sma[4]_stddev numeric,4.5473684210496e-05,0.000230769230769,0.0013846153846160001,0.0026985882352934427,0.0010898616337222348
audSpec_Rfilt_sma[4]_peakMeanRel numeric,0.0,0.000305999999999694,0.0013846153846160001,0.002624470588234638,0.001078771493212583
mfcc_sma_de[2]_minRangeRel numeric,4.5473684210496e-05,0.000923076923076,0.0,0.003160941176469798,0.0010323729459390735
pcm_fftMag_spectralVariance_sma_leftctime numeric,0.00019184210526303,0.000461538461538,0.0,0.003455294117646195,0.0010271686711118063
audSpec_Rfilt_sma_de[4]_pctlrange0-1 numeric,0.0,0.0,0.0013846153846160001,0.002654823529411101,0.0010098597285067754
audSpec_Rfilt_sma_de[11]_skewness numeric,0.00023684210526300002,0.0,0.00034615384615400003,0.0034207058823520864,0.0010009254584422717
audSpec_Rfilt_sma[4]_amean numeric,0.0,0.0,0.001038461538462,0.0029449411764698517,0.000995850678732963
audSpec_Rfilt_sma[1]_percentile1.0 numeric,0.0,7.4769230769156e-05,0.00034615384615400003,0.003361411764705042,0.0009455837104070494
mfcc_sma[4]_quartile1 numeric,0.000718578947367942,0.000230769230769,0.0017307692307700002,0.0010588235294115,0.0009347352345796106
mfcc_sma[14]_quartile1 numeric,8.194736842099801e-05,7.4769230769156e-05,0.0034615384615400003,7.4823529411746e-05,0.0009232696475354751
pcm_fftMag_spectralCentroid_sma_de_stddevRisingSlope numeric,0.0030519473684190185,0.000461538461538,0.0,7.4823529411746e-05,0.0008970773398421912
mfcc_sma[8]_flatness numeric,0.000578842105262772,0.0,0.001038461538462,0.001918588235293638,0.0008839729697546026
mfcc_sma[12]_quartile1 numeric,0.00038368421052606,0.0,0.0027692307692320003,0.0003529411764705,0.0008764640390571401
audSpec_Rfilt_sma_de[12]_iqr1-2 numeric,0.001119315789472938,0.0,0.0,0.002298352941175896,0.0008544171826622085
mfcc_sma[8]_amean numeric,0.0009378947368414801,0.000461538461538,0.00034615384615400003,0.0016157647058819492,0.0008403379376038573
pcm_fftMag_psySharpness_sma_stddevRisingSlope numeric,0.00312868421052423,0.000230769230769,0.0,0.0,0.0008398633603233075
audSpec_Rfilt_sma_de[22]_lpc3 numeric,0.0,0.0,0.0017307692307700002,0.001611529411764303,0.0008355746606335758
audSpec_Rfilt_sma_de[22]_peakMeanMeanDist numeric,0.0,0.0,0.0027692307692320003,0.000497647058823405,0.0008167194570138513
mfcc_sma[4]_quartile2 numeric,0.0008725263157888921,0.000333692307691974,0.001038461538462,0.000909176470588008,0.0007884641581327185
audSpec_Rfilt_sma_de[4]_risetime numeric,0.0,0.0,0.0017307692307700002,0.001411764705882,0.000785633484163
pcm_RMSenergy_sma_de_minRangeRel numeric,0.0029429999999980383,0.0,0.0,0.000133411764705849,0.0007691029411759718
