feature,button_w,button_no,vocal_w,vocal_no,mean_importance
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,0.000296947368421392,0.0,0.001038461538462,0.009176470588233,0.002627969873779098
audSpec_Rfilt_sma[4]_percentile1.0 numeric,0.0,0.0,0.0013846153846160001,0.005373882352939833,0.0016896244343889582
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,3.8315789473728e-05,0.0,0.0017307692307700002,0.004730823529410582,0.0016249771374135776
audSpec_Rfilt_sma_de[4]_stddev numeric,0.000220315789473936,0.0,0.0027692307692320003,0.003431294117646201,0.0016052101690880343
audSpec_Rfilt_sma[4]_flatness numeric,0.0,0.0,0.0027692307692320003,0.003648705882352029,0.0016044841628960072
audSpec_Rfilt_sma[4]_percentile99.0 numeric,0.0,0.0,0.0017307692307700002,0.003711529411763778,0.0013605746606334445
mfcc_sma[8]_flatness numeric,0.001056263157895944,0.000305999999999694,0.0006923076923080001,0.003230823529410957,0.0013213485949036489
audSpec_Rfilt_sma[4]_amean numeric,0.0,0.0,0.0006923076923080001,0.00436235294117538,0.0012636651583708448
audSpec_Rfilt_sma[4]_stddev numeric,4.6421052631632e-05,0.0,0.002076923076924,0.00284470588235223,0.0012420125029769654
mfcc_sma[4]_quartile2 numeric,0.000368421052632,0.0,0.002423076923078,0.002111294117646531,0.0012256980233391328
mfcc_sma[5]_amean numeric,0.0,0.00461538461538,0.0,0.00019905882352936198,0.0012036108597273405
audSpec_Rfilt_sma_de[4]_rqmean numeric,0.000313894736842464,0.0,0.0013846153846160001,0.0030381176470580637,0.001184156942129132
audSpec_Rfilt_sma[1]_percentile1.0 numeric,0.0,0.0,0.00034615384615400003,0.004276235294116578,0.0011555972850676446
audSpec_Rfilt_sma_de[4]_percentile1.0 numeric,0.0,6.1384615384554e-05,0.002423076923078,0.002083058823528891,0.0011418800904978612
pcm_RMSenergy_sma_upleveltime75 numeric,0.0,0.000164307692307528,0.0,0.004366588235293026,0.0011327239819001384
audSpec_Rfilt_sma_de[4]_posamean numeric,3.500000000004e-05,0.0,0.0006923076923080001,0.00371294117646966,0.001110062217194425
audSpec_Rfilt_sma_de[4]_flatness numeric,0.0,0.0,0.0017307692307700002,0.002676705882352272,0.001101868778280568
audSpec_Rfilt_sma_de[4]_quartile1 numeric,6.7421052631656e-05,0.000337846153845816,0.0,0.0035964705882343953,0.0010004344486779669
audSpec_Rfilt_sma_de[4]_pctlrange0-1 numeric,6.3736842105336e-05,0.0,0.0013846153846160001,0.002315999999999421,0.0009410880566801893
