feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[14]_iqr1-2 numeric,0.0034046896551742584,0.007724137931032,0.0,0.0,0.0027822068965515645
audSpec_Rfilt_sma_de[10]_meanRisingSlope numeric,0.0,0.0,0.0,0.011099379310342305,0.0027748448275855763
pcm_fftMag_spectralRollOff90.0_sma_amean numeric,0.0,0.009259310344824611,4.4307692307648005e-05,0.000129724137931005,0.002358335543765816
pcm_fftMag_spectralRollOff75.0_sma_de_percentile1.0 numeric,0.00025820689655186403,0.008689655172411,0.0,0.0,0.002236965517240716
pcm_fftMag_spectralVariance_sma_percentile99.0 numeric,0.0,0.0067586206896529995,0.0,0.0020482758620685,0.002201724137930375
mfcc_sma_de[2]_meanRisingSlope numeric,0.005032551724140658,0.0,0.0,0.0036770344827577847,0.0021773965517246107
pcm_fftMag_spectralEntropy_sma_percentile99.0 numeric,0.0,0.0067586206896529995,0.0,0.001495241379310005,0.002063465517240751
pcm_zcr_sma_de_iqr1-2 numeric,0.0,0.0067586206896529995,0.0,0.0008944137931032449,0.001913258620689061
pcm_fftMag_spectralRollOff75.0_sma_rqmean numeric,0.0,0.007241379310342499,0.0,0.00032696551724130493,0.001892086206895951
pcm_fftMag_psySharpness_sma_rqmean numeric,0.0,0.007241379310342499,0.000112923076922964,5.8413793103434995e-05,0.0018531790450922244
pcm_fftMag_spectralRollOff25.0_sma_de_flatness numeric,0.000114206896551786,0.0067586206896529995,0.000112923076922964,0.00039599999999991,0.001845437665781915
pcm_zcr_sma_amean numeric,0.0,0.007241379310342499,0.0,5.158620689654e-05,0.0018232413793097598
pcm_fftMag_spectralRollOff75.0_sma_percentile99.0 numeric,0.00034675862068984307,0.006845517241377111,0.0,0.0,0.0017980689655167385
pcm_fftMag_spectralVariance_sma_pctlrange0-1 numeric,0.0,0.005793103448274,4.1538461538420005e-05,0.0012722068965514348,0.0017767122015909637
audSpec_Rfilt_sma_de[13]_quartile3 numeric,0.005564689655175427,0.0,0.0,0.00146110344827553,0.0017564482758627392
pcm_fftMag_spectralCentroid_sma_percentile99.0 numeric,0.0,0.0067586206896529995,7.138461538454399e-05,0.00016917241379306498,0.0017497944297076523
pcm_fftMag_spectralVariance_sma_stddev numeric,0.0,0.005793103448274,0.0,0.001140206896551465,0.0017333275862063662
pcm_fftMag_spectralRollOff50.0_sma_meanRisingSlope numeric,7.448275862073e-05,0.005793103448274,0.0,0.0009664827586204699,0.0017085172413788
pcm_zcr_sma_meanRisingSlope numeric,6.289655172417201e-05,0.0067586206896529995,0.0,0.0,0.001705379310344293
mfcc_sma_de[3]_quartile3 numeric,0.006806896551727825,0.0,0.0,0.0,0.0017017241379319562
mfcc_sma[2]_quartile3 numeric,0.000307862068965684,0.006275862068963499,0.0,0.00020786206896547004,0.0016978965517236632
pcm_zcr_sma_flatness numeric,0.0,0.0067586206896529995,0.0,0.0,0.0016896551724132499
pcm_zcr_sma_pctlrange0-1 numeric,0.0,0.0067586206896529995,0.0,0.0,0.0016896551724132499
pcm_fftMag_spectralEntropy_sma_pctlrange0-1 numeric,0.0,0.0067586206896529995,0.0,0.0,0.0016896551724132499
mfcc_sma_de[5]_iqr1-3 numeric,0.0060819310344860525,0.0,0.000420615384614964,0.00024199999999994498,0.0016861366047752405
pcm_fftMag_spectralRollOff90.0_sma_stddev numeric,0.0,0.005793103448274,0.0,0.000700206896551565,0.0016233275862063913
pcm_fftMag_psySharpness_sma_percentile99.0 numeric,0.0,0.006275862068963499,0.00019538461538442,0.0,0.0016178116710869799
mfcc_sma[1]_stddev numeric,0.0,0.006275862068963499,0.0,6.1448275862055e-05,0.0015843275862063885
pcm_zcr_sma_stddev numeric,0.0,0.005793103448274,0.0,0.00052799999999988,0.0015802758620684701
pcm_fftMag_spectralRollOff75.0_sma_pctlrange0-1 numeric,0.0,0.006275862068963499,0.0,0.0,0.0015689655172408748
pcm_fftMag_spectralRollOff25.0_sma_de_percentile1.0 numeric,0.0,0.006275862068963499,0.0,0.0,0.0015689655172408748
mfcc_sma_de[11]_upleveltime75 numeric,0.0,0.006275862068963499,0.0,0.0,0.0015689655172408748
pcm_fftMag_psySharpness_sma_stddev numeric,0.0,0.006275862068963499,0.0,0.0,0.0015689655172408748
pcm_zcr_sma_peakMeanAbs numeric,0.0,0.005793103448274,0.00041999999999958005,0.0,0.0015532758620683952
mfcc_sma_de[1]_rqmean numeric,0.000705103448276244,0.0053103448275845,0.0,0.0,0.001503862068965186
pcm_fftMag_spectralCentroid_sma_rqmean numeric,6.372413793106901e-05,0.005862620689653288,0.0,5.2344827586194994e-05,0.001494672413792638
mfcc_sma[9]_meanFallingSlope numeric,0.000648827586207248,0.0053103448275845,0.0,0.0,0.001489793103447937
pcm_fftMag_spectralRollOff25.0_sma_de_posamean numeric,0.0,0.004827586206895,0.0,0.0010431034482756248,0.0014676724137926563
pcm_fftMag_spectralRollOff25.0_sma_de_pctlrange0-1 numeric,0.0,0.0053103448275845,0.0,0.0005537931034481499,0.0014660344827581624
pcm_fftMag_psySharpness_sma_flatness numeric,0.0,0.005793103448274,0.0,6.220689655171e-05,0.0014638275862064276
audspecRasta_lengthL1norm_sma_de_skewness numeric,0.000330206896551903,0.0004827586206895,0.0,0.004995517241378175,0.0014521206896548945
audSpec_Rfilt_sma[19]_quartile1 numeric,0.003389793103450112,0.0024137931034475,0.0,0.0,0.001450896551724403
pcm_fftMag_spectralRollOff75.0_sma_de_meanRisingSlope numeric,0.0,0.005793103448274,0.0,0.0,0.0014482758620685
pcm_fftMag_spectralRollOff75.0_sma_amean numeric,0.0,0.005793103448274,0.0,0.0,0.0014482758620685
pcm_fftMag_spectralRollOff90.0_sma_flatness numeric,0.0,0.005793103448274,0.0,0.0,0.0014482758620685
