feature,button_w,button_no,vocal_w,vocal_no,mean_importance
audSpec_Rfilt_sma[4]_flatness numeric,0.00018126190476188902,0.000108333333333316,0.00188146341463486,0.00631619047619245,0.002121812282230629
audSpec_Rfilt_sma_de[4]_risetime numeric,8.1595238095231e-05,0.00039285714285708,0.00486563414634331,0.0024693333333341044,0.0019523549651574313
audSpec_Rfilt_sma[4]_percentile1.0 numeric,7.228571428570802e-05,7.619047619046399e-05,0.001716658536586017,0.00529523809523975,0.0017900932055754848
audSpec_Rfilt_sma[4]_stddev numeric,0.00010240476190475302,2.6190476190471998e-05,0.001456365853659089,0.004886857142858671,0.001617954558653246
audSpec_Rfilt_sma[4]_amean numeric,0.000123214285714275,2.6785714285710002e-05,0.001974829268293432,0.004220190476191795,0.001586254936121303
audSpec_Rfilt_sma[4]_pctlrange0-1 numeric,8.1595238095231e-05,0.0,0.0026432439024400268,0.0030544761904771453,0.0014448288327531008
audSpec_Rfilt_sma_de[9]_quartile1 numeric,0.0004096190476190121,0.004411309523808818,0.000729243902439301,2.4380952380959998e-05,0.0013936383565620227
mfcc_sma[5]_quartile2 numeric,0.00106785714285705,0.002707142857142424,0.000522000000000198,0.001262476190476585,0.0013898690476190642
mfcc_sma[2]_lpc3 numeric,0.0,4.6428571428563996e-05,0.002146000000000814,0.0032731428571438803,0.0013663928571433146
audSpec_Rfilt_sma[4]_rqmean numeric,0.0,0.0,0.002436707317074095,0.0027451428571437153,0.0012954625435544526
pcm_RMSenergy_sma_lpc0 numeric,7.0095238095232e-05,2.8571428571424e-05,0.0,0.004796952380953881,0.001223904761905134
mfcc_sma[5]_percentile1.0 numeric,0.0019413095238093553,0.0029464285714281002,0.0,0.0,0.001221934523809364
audSpec_Rfilt_sma[1]_quartile1 numeric,0.0,0.000257142857142816,0.0022223902439032824,0.00240304761904837,0.0012206451800236171
mfcc_sma[3]_lpc0 numeric,0.000800619047618978,0.0,0.001172731707317518,0.002828952380953265,0.00120057578397244
audSpec_Rfilt_sma_de[4]_percentile99.0 numeric,7.3928571428565e-05,0.000101785714285698,0.001380682926829792,0.003129142857143835,0.0011713850174219725
mfcc_sma[4]_percentile1.0 numeric,0.0011499999999999,0.000573214285714194,0.000200170731707393,0.0027123809523818,0.0011589414924508218
mfcc_sma[4]_quartile3 numeric,0.001469261904761777,0.000672023809523702,0.002127609756098368,0.00032761904761915,0.0011491286295007492
audSpec_Rfilt_sma[4]_percentile99.0 numeric,2.1904761904760005e-05,0.0,0.002176414634147167,0.0022796190476197602,0.0011194846109179217
audSpec_Rfilt_sma_de[9]_iqr1-2 numeric,0.001003785714285627,0.0020261904761901517,0.0014316097560981038,0.0,0.0011153964866434706
mfcc_sma[5]_quartile1 numeric,0.00046930952380948304,0.002186904761904412,0.0008473658536588581,0.00093409523809553,0.0011094188443670707
pcm_RMSenergy_sma_de_lpc1 numeric,7.885714285713601e-05,0.0001190476190476,0.0006174878048782831,0.0036060952380963652,0.0011053719512198461
audSpec_Rfilt_sma[9]_iqr1-3 numeric,0.00043042857142853405,0.0030940476190471234,0.000248975609756192,0.00053485714285731,0.0010770772357722898
pcm_RMSenergy_sma_de_lpc0 numeric,0.0,0.0,0.001597829268293289,0.0026072380952389096,0.0010512668408830497
logHNR_sma_pctlrange0-1 numeric,3.3404761904759004e-05,0.0,0.000207243902439103,0.003939809523810755,0.0010451145470386542
mfcc_sma[6]_lpc3 numeric,2.6285714285712002e-05,0.0,0.0025251219512204704,0.00159542857142907,0.0010367090592338132
