feature,button_w,button_no,vocal_w,vocal_no,mean_importance
pcm_fftMag_spectralEntropy_sma_linregerrQ numeric,0.0,0.00269379310344648,0.0022057142857151678,0.0025534,0.001863226847290412
pcm_RMSenergy_sma_de_lpc2 numeric,0.0,4.0344827586180004e-05,0.004295000000001718,0.00293828,0.0018184062068969742
mfcc_sma[2]_lpc3 numeric,0.000226304347825921,0.000119172413793024,0.001231428571429064,0.00554268,0.0017798963332620022
mfcc_sma[5]_percentile1.0 numeric,0.0019832608695637627,0.0040034482758594,0.00018928571428579,0.0,0.0015439987149272383
pcm_RMSenergy_sma_de_lpc4 numeric,0.0,0.00021413793103434002,0.0033678571428584895,0.0024160400000000004,0.0014995087684732075
mfcc_sma_de[9]_flatness numeric,0.0,0.000101793103448208,0.0058914285714309275,0.0,0.0014983054187197838
pcm_RMSenergy_sma_de_lpc3 numeric,0.0,0.000402206896551456,0.00331428571428704,0.00227596,0.001498113152709624
pcm_RMSenergy_sma_lpc2 numeric,0.0003260869565215,0.0,0.0,0.00516868,0.001373691739130375
mfcc_sma[4]_rqmean numeric,0.003069130434780358,0.001466068965516264,0.0,0.00080988,0.0013362698500741556
pcm_RMSenergy_sma_lpc3 numeric,0.0,0.0,0.00014071428571434198,0.005180240000000001,0.0013302385714285857
pcm_fftMag_spectralFlux_sma_de_meanRisingSlope numeric,6.1304347826042e-05,7.3862068965468e-05,0.005080714285716317,0.0,0.0013039701756269568
pcm_RMSenergy_sma_de_lpc1 numeric,0.000491739130434422,0.0,0.002570714285715314,0.0021093600000000002,0.001292953354037434
mfcc_sma[4]_amean numeric,0.0014328260869554707,0.0019576551724124884,0.00141071428571485,9.996e-05,0.0012252888862707022
mfcc_sma_de[11]_meanFallingSlope numeric,0.000431086956521423,0.0041908965517213435,0.000105714285714328,0.0,0.0011819244484892735
pcm_RMSenergy_sma_lpc1 numeric,0.0,4.4689655172384e-05,0.00022571428571437603,0.004448560000000001,0.0011797409852216901
audSpec_Rfilt_sma[9]_quartile3 numeric,0.000274565217391103,0.0028607586206877483,0.00130357142857195,0.00027608,0.0011787438166627002
mfcc_sma[14]_kurtosis numeric,0.0,0.0,0.003734285714287208,0.0009669600000000001,0.001175311428571802
pcm_RMSenergy_sma_flatness numeric,0.0,0.0,0.000666428571428838,0.00400996,0.0011690971428572096
mfcc_sma[4]_quartile2 numeric,0.0010395652173905419,0.001380413793102528,0.001902857142857904,0.00034,0.0011657090383377436
logHNR_sma_percentile99.0 numeric,9.5869565217321e-05,3.9103448275836e-05,0.000468571428571616,0.00400044,0.0011509961105161933
mfcc_sma[5]_quartile1 numeric,0.0,0.003207724137928896,0.00012500000000004998,0.00122944,0.0011405410344822366
audSpec_Rfilt_sma[24]_centroid numeric,0.004530652173909721,0.0,0.0,0.0,0.0011326630434774303
