feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[4]_quartile1 numeric,0.011337071428567306,0.00623099999999799,0.01685124390243447,0.0042291666666649744,0.009662120499416183
voiceProb_sma_de_iqr2-3 numeric,0.010168714285710588,0.007578023809521365,0.013039341463411111,0.005213333333331248,0.008999853222993577
mfcc_sma[4]_quartile2 numeric,0.008732428571425397,0.006983119047616795,0.01514021951219103,0.0035233333333319237,0.008594775116141287
voiceProb_sma_de_linregerrA numeric,0.01168357142856718,0.00510319047618883,0.01440473170731318,0.0020599999999991758,0.008312873403017092
mfcc_sma[4]_amean numeric,0.003420999999998756,0.0036329047619035903,0.0173629268292636,0.007392499999997042,0.007952332897790747
voiceProb_sma_de_iqr1-3 numeric,0.008099928571425627,0.00726433333333099,0.014458878048776581,0.001669166666665999,0.007873076655049799
voiceProb_sma_de_quartile3 numeric,0.009863071428567842,0.007702023809521325,0.00991058536585098,0.003550833333331913,0.007756628484318014
F0env_sma_quartile1 numeric,0.000100571428571392,0.00026645238095229497,0.02015778048779943,0.010405833333329171,0.007732659407663073
mfcc_sma[4]_quartile3 numeric,0.00542928571428374,0.005996285714283779,0.015659121951215278,0.002787499999998885,0.00746804834494542
F0env_sma_quartile2 numeric,0.000592428571428356,0.00013876190476186,0.026127414634139277,0.002420833333332365,0.007319859610915465
voiceProb_sma_de_quartile1 numeric,0.005730999999997917,0.009114738095235154,0.00934114634146089,0.002109999999999156,0.00657422110917328
F0_sma_de_linregerrQ numeric,0.009414428571425148,0.001100499999999645,0.01281914634145995,0.001856666666665924,0.006297685394887667
mfcc_sma[5]_linregc2 numeric,0.003159357142855994,0.01807447619047036,0.0014258536585362001,0.002198333333332454,0.006214505081298751
mfcc_sma[5]_quartile2 numeric,0.002370499999999138,0.016900166666661217,0.0022245121951213497,0.002746666666665568,0.006060461382111818
voiceProb_sma_de_iqr1-2 numeric,0.006626714285711877,0.0054161428571411095,0.008966634146339041,0.0032108333333320488,0.00605508115563102
F0_sma_de_linregerrA numeric,0.008062999999997069,0.001851880952380355,0.0113165853658506,0.001611666666666022,0.005710783246223512
mfcc_sma[5]_amean numeric,0.001015142857142488,0.016497166666661345,0.0029338292682918902,0.00214999999999914,0.005649034698023716
voiceProb_sma_de_skewness numeric,0.000948357142856798,0.00022438095238088001,0.00968407317072909,0.011649999999995341,0.005626702816490527
F0_sma_de_kurtosis numeric,0.008722999999996827,0.001101976190475835,0.011370731707314001,0.00045999999999981597,0.005413926974446619
mfcc_sma[5]_quartile3 numeric,0.000872928571428254,0.0174485714285658,0.0006696097560973801,0.002535833333332319,0.005381735772355938
F0_sma_de_stddev numeric,0.007561714285711536,0.00088423809523781,0.01229392682926497,0.000599166666666427,0.005334761469220186
mfcc_sma[5]_quartile1 numeric,0.002988071428570342,0.01172833333332955,0.00162258536585322,0.003469999999998612,0.004952247531937931
F0env_sma_amean numeric,0.000779428571428288,0.00037199999999988,0.014238682926825421,0.003264166666665361,0.0046635695412297375
mfcc_sma[4]_linregc2 numeric,0.002434928571427686,0.00633876190475986,0.00854880487804647,0.001064166666666241,0.004596665505225065
voiceProb_sma_de_linregerrQ numeric,0.004103785714284222,0.003711880952379755,0.00944221951219257,0.00053333333333312,0.0044478048780474165
mfcc_sma[9]_linregc1 numeric,0.015421999999994392,0.00025833333333325,0.0009358292682924299,0.001055833333332911,0.004417998983738246
mfcc_sma[6]_min numeric,0.000737785714285446,0.000820023809523545,0.00103058536585338,0.014371666666660917,0.004240015389080822
voiceProb_sma_de_stddev numeric,0.004033857142855677,0.004656642857141355,0.007475804878046759,0.000687499999999725,0.004213451219510879
F0env_sma_linregc2 numeric,0.0004439285714284101,0.00038307142857130504,0.014300951219508331,0.000994166666666269,0.004030529471543579
mfcc_sma_de[10]_linregerrA numeric,0.00019249999999993,0.001262880952380545,0.00484699999999869,0.008449166666663286,0.003687886904760613
voiceProb_sma_stddev numeric,0.000445499999999838,0.00060671428571409,0.0029031463414626304,0.009879999999996048,0.0034588401567931517
F0env_sma_quartile3 numeric,0.00021057142857135202,0.0008207619047616399,0.01143931707316764,0.001292499999999483,0.0034407876016250287
mfcc_sma_de[10]_stddev numeric,0.00044785714285698,0.001674738095237555,0.0038597317073160303,0.007704166666663585,0.0034216234030185373
lspFreq_sma[2]_quartile2 numeric,0.007814714285711444,0.00027604761904753,0.0046132682926816795,0.0009199999999996319,0.0034060075493600713
mfcc_sma_de[3]_iqr1-2 numeric,0.000100571428571392,0.0008229761904759251,0.007591317073168681,0.005039999999997984,0.0033887161730534955
mfcc_sma_de[10]_linregerrQ numeric,6.442857142854801e-05,0.001857785714285115,0.00328939024390155,0.007701666666663586,0.0032283177990697
mfcc_sma[6]_linregerrQ numeric,0.002331999999999152,0.000356499999999885,0.00058929268292667,0.009478333333329541,0.003189031504063812
mfcc_sma_de[10]_max numeric,0.000130428571428524,0.000595642857142665,0.010355487804875252,0.00154166666666605,0.0031558064750281225
mfcc_sma[6]_stddev numeric,0.002261285714284892,7.4547619047595e-05,0.0009412439024387699,0.009323333333329603,0.003150102642275215
mfcc_sma_de[3]_min numeric,0.001790642857142206,0.00102004761904729,0.0018590243902434002,0.007779166666663555,0.0031122203832741127
voiceProb_sma_de_kurtosis numeric,0.0009719285714282179,0.00189838095238034,0.0040266829268281795,0.005476666666664475,0.003093414779325303
voiceProb_sma_linregerrQ numeric,0.00038735714285700196,0.00088866666666638,0.0013906585365849901,0.009409999999996236,0.003019170586526152
lspFreq_sma[2]_quartile3 numeric,0.005953357142854978,0.00048419047619032,0.00414129268292571,0.001334999999999466,0.0029784600754926187
mfcc_sma_de[7]_min numeric,0.009470214285710842,0.002076261904761235,0.0,0.000122499999999951,0.0029172440476180066
