feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[4]_quartile2 numeric,0.0074986190476208124,0.007376380952382688,0.017793658536589322,0.004934857142858304,0.009400878919862781
F0env_sma_quartile1 numeric,0.00039019047619056805,7.366666666668401e-05,0.02140595121951695,0.010996571428574017,0.008216594947737054
voiceProb_sma_de_iqr1-3 numeric,0.00974261904762134,0.008136523809525726,0.012291804878051512,0.002465809523810104,0.008159189314752171
voiceProb_sma_de_quartile1 numeric,0.010154666666669056,0.005412476190477465,0.014218243902442182,0.0021598095238100318,0.007986299070849683
voiceProb_sma_de_linregerrA numeric,0.012758904761907766,0.00579214285714422,0.012928390243905312,0.000258238095238156,0.007934418989548863
mfcc_sma[4]_amean numeric,0.009476285714287944,0.004046809523810476,0.01460107317073495,0.0033271428571436403,0.007862827816494252
mfcc_sma[5]_quartile2 numeric,0.0017736666666670839,0.023889857142862767,0.0020967804878053438,0.0034663809523817683,0.007806671312429241
voiceProb_sma_de_iqr2-3 numeric,0.010136857142859529,0.005689333333334673,0.012500780487807655,0.002520857142857736,0.007711957026714899
mfcc_sma[4]_quartile3 numeric,0.005710380952382296,0.006169380952382404,0.015995414634149892,0.002090190476190968,0.00749134175377639
F0env_sma_quartile2 numeric,0.000204809523809572,0.00031166666666674004,0.02746624390244513,0.001589904761905136,0.007393156213706645
mfcc_sma[4]_quartile1 numeric,0.007035571428573083,0.004546285714286784,0.01188439024390508,0.0038573809523818605,0.006830907084786703
voiceProb_sma_de_skewness numeric,0.00043876190476200796,0.000284142857142924,0.009749853658538752,0.01678952380952776,0.006815570557492861
mfcc_sma[4]_linregc2 numeric,0.004432952380953425,0.01066709523809775,0.007325560975611385,0.00399095238095332,0.00660414024390397
voiceProb_sma_de_quartile3 numeric,0.009813047619049928,0.007417666666668412,0.007492390243904104,0.0016028571428575202,0.006581490418119991
F0_sma_de_linregerrQ numeric,0.011547047619050337,0.0008200476190478121,0.010396097560977919,0.0028406190476197163,0.006400952961673946
mfcc_sma[5]_linregc2 numeric,0.001572904761905132,0.0178904761904804,0.0036825365853666715,0.001512190476190832,0.00616452700348576
F0_sma_de_linregerrA numeric,0.008626285714287744,0.0013049523809526883,0.01243404878049057,0.0017048571428575439,0.0060175360046471355
F0_sma_de_kurtosis numeric,0.010049428571430936,0.0008621428571430601,0.012109170731710008,0.000891285714285924,0.005978006968642482
voiceProb_sma_de_iqr1-2 numeric,0.005689333333334673,0.005412476190477465,0.011441853658539128,0.001128476190476456,0.0059180348432069305
mfcc_sma[5]_quartile1 numeric,0.0007140000000001681,0.017569095238099373,0.0026964878048786477,0.002490095238095824,0.005867419570268504
mfcc_sma[5]_amean numeric,0.0008759047619049681,0.018634428571432958,0.002465560975610304,0.0011519523809526522,0.00578196167247522
F0env_sma_amean numeric,0.00014814285714289202,0.000260666666666728,0.016788292682930556,0.004488809523810581,0.005421477932637689
F0_sma_de_stddev numeric,0.008656238095240134,0.0010240476190478602,0.008379219512196985,0.0033570952380960277,0.005354150116145252
voiceProb_sma_stddev numeric,0.000162714285714324,0.0011333333333336001,0.001906243902439448,0.015346952380955995,0.004637310975610842
voiceProb_sma_de_stddev numeric,0.00303976190476262,0.009013238095240217,0.0058609756097574,0.000561809523809656,0.004618946283392472
voiceProb_sma_de_linregerrQ numeric,0.0031652380952388406,0.007274380952382664,0.007123609756099142,0.00063547619047634,0.004549676248549246
F0_sma_de_skewness numeric,0.0003845238095239,0.0002428571428572,0.01425073170732024,0.003111809523810256,0.004497480545877899
mfcc_sma[6]_min numeric,0.0003594285714286561,0.0011244285714288361,0.000550536585365976,0.015552571428575088,0.004396741289199639
mfcc_sma[5]_quartile3 numeric,0.000378047619047708,0.01385661904762231,0.0008666341463416559,0.0022488571428576722,0.004337539488967337
F0env_sma_linregc2 numeric,0.00037885714285723203,0.00015380952380956,0.012525365853661319,0.003952095238096168,0.0042525319396060695
voiceProb_sma_linregerrQ numeric,0.00035214285714293996,0.00133976190476222,0.0015436097560979037,0.012359000000002908,0.003898628629501493
