feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[4]_quartile1 numeric,0.009140333333335483,0.00618966666666467,0.01573121951218838,0.0035521904761913127,0.008653352497094962
voiceProb_sma_de_quartile1 numeric,0.016143523809527608,0.005161499999998336,0.01030878048780046,0.002438285714286288,0.008513022502903174
voiceProb_sma_de_iqr2-3 numeric,0.011534095238097952,0.003853595238093995,0.014523292682920606,0.0034607142857151,0.008342924361206913
F0env_sma_quartile1 numeric,7.852380952382801e-05,0.00018304761904756,0.021173292682917753,0.011926714285717094,0.008340394599301559
voiceProb_sma_de_iqr1-3 numeric,0.012799380952383966,0.004898738095236515,0.011007926829263574,0.002008428571429044,0.007678618612078275
mfcc_sma[4]_amean numeric,0.006736857142858728,0.00532461904761733,0.012742560975604295,0.005137238095239304,0.007485318815329914
F0_sma_de_stddev numeric,0.013876047619050884,0.001211214285713895,0.01247707317072636,0.001476571428571776,0.007260226626015729
mfcc_sma[4]_quartile2 numeric,0.007818380952382792,0.00455404761904615,0.01382414634145749,0.002684380952381584,0.007220238966317004
voiceProb_sma_de_quartile3 numeric,0.010967428571431152,0.004773261904760366,0.008930121951215685,0.0035141428571436838,0.007046238821137722
F0env_sma_quartile2 numeric,5.5857142857156e-05,0.000202976190476125,0.02453243902437973,0.0023468095238100757,0.006784520470380772
mfcc_sma[5]_quartile1 numeric,0.002666571428572056,0.017729785714279994,0.002841829268291465,0.002763714285714936,0.006500475174214613
mfcc_sma[4]_quartile3 numeric,0.00316119047619122,0.006736595238093065,0.014233048780481705,0.001633619047619432,0.006441113385596355
voiceProb_sma_de_skewness numeric,0.000321380952381028,0.00030409523809514,0.006148902439021755,0.01756423809524223,0.006084654181185038
F0_sma_de_kurtosis numeric,0.012836619047622068,0.001200880952380565,0.008646707317069466,0.001383476190476516,0.006016920876887153
voiceProb_sma_de_iqr1-2 numeric,0.007711523809525624,0.005806595238093366,0.007543780487801646,0.00258642857142918,0.005912082026712454
F0_sma_de_linregerrQ numeric,0.011577809523812248,0.001710166666666115,0.008460609756093935,0.001856238095238532,0.005901206010452708
mfcc_sma[4]_linregc2 numeric,0.002945857142857836,0.010387214285710935,0.00785536585365517,0.0021994761904767083,0.005846978368175163
voiceProb_sma_de_linregerrA numeric,0.009434190476192697,0.00547223809523633,0.005460853658534245,0.002155761904762412,0.005630761033681421
mfcc_sma[5]_quartile2 numeric,0.00104833333333358,0.015713309523804453,0.00177902439024314,0.0031401428571435964,0.005420202526131193
F0_sma_de_linregerrA numeric,0.010990095238097825,0.00077942857142832,0.007702560975606455,0.002118523809524308,0.005397652148664227
F0env_sma_amean numeric,0.00032866666666674397,0.00050042857142841,0.017251585365846266,0.0034331904761912843,0.005378467770033176
mfcc_sma[5]_amean numeric,0.001401285714286044,0.01694519047618501,0.00215975609756005,0.0008629523809525841,0.005342296167245923
mfcc_sma[5]_linregc2 numeric,0.001911285714286164,0.01396033333332883,0.00231170731707218,0.001123619047619312,0.004826736353076622
voiceProb_sma_de_linregerrQ numeric,0.002652000000000624,0.005794785714283845,0.00926390243902042,0.0011770476190478961,0.004721933943088196
voiceProb_sma_de_kurtosis numeric,0.0034647619047627203,0.00267042857142771,0.004151341463412855,0.008291952380954332,0.0046446210801394045
voiceProb_sma_de_stddev numeric,0.003111000000000732,0.0063380238095217655,0.006669634146338604,0.0017963333333337562,0.004478747822298715
voiceProb_sma_stddev numeric,0.00022100000000005202,0.00046278571428556495,0.001023536585365415,0.015030428571432108,0.004184437717770785
mfcc_sma[6]_min numeric,0.0012021428571431401,0.0015883809523804398,0.00041829268292665,0.01335309523809838,0.0041404779326371524
F0env_sma_linregc2 numeric,0.00043714285714296,0.000543976190476015,0.01339731707316499,0.002142809523810028,0.004130311411148498
mfcc_sma[5]_quartile3 numeric,0.000710761904762072,0.012663499999995914,0.0011848780487799802,0.001866761904762344,0.004106475464575077
lspFreq_sma[2]_quartile2 numeric,0.009794428571430876,0.000111452380952345,0.003565731707315545,0.0019873809523814202,0.003864748403020047
F0_sma_de_skewness numeric,0.00038371428571437605,0.000171976190476135,0.01365853658536,0.001156000000000272,0.003842556765387696
mfcc_sma_de[10]_linregerrA numeric,0.000247714285714344,0.001637833333332805,0.010654512195117385,0.0023346666666672162,0.0037186816202079377
mfcc_sma_de[3]_min numeric,0.002538666666667264,0.0010776190476187,0.002379146341462395,0.008271714285716233,0.003566786585366148
mfcc_sma[9]_linregc1 numeric,0.010761000000002534,9.890476190473001e-05,0.0010337804878044349,0.002291761904762444,0.003546361788618536
voiceProb_sma_linregerrQ numeric,0.000269571428571492,0.0006015476190474251,0.002099146341462515,0.0107666666666692,0.003434233013937658
mfcc_sma_de[7]_kurtosis numeric,0.012099952380955228,0.00032919047619037,0.00025951219512184,0.0006516666666668201,0.0033350804297335645
mfcc_sma[3]_min numeric,0.00022180952380957604,0.000483452380952225,0.00976073170731289,0.0018902380952385404,0.0030890579268283078
mfcc_sma_de[10]_max numeric,0.000335142857142936,0.00021035714285707498,0.011000243902434311,0.000564238095238228,0.0030274954994181378
mfcc_sma[6]_linregerrQ numeric,0.0024423333333339083,0.00039045238095225494,0.0015997560975602898,0.0076103333333351255,0.0030107187862953946
mfcc_sma[8]_linregc2 numeric,0.005694190476191817,0.001409023809523355,0.0038158536585349502,0.000901809523809736,0.0029552193670149647
mfcc_sma[6]_stddev numeric,0.0015607619047622722,0.00021183333333326502,0.00077512195121918,0.00845547619047818,0.002750798344948224
mfcc_sma_de[6]_skewness numeric,0.0006233333333334801,0.00073514285714262,0.003190121951218145,0.006431666666668181,0.0027450662020906064
mfcc_sma[10]_min numeric,0.000956047619047844,0.0011159999999996398,4.1829268292664996e-05,0.008612523809525837,0.0026816001742164964
mfcc_sma_de[10]_stddev numeric,0.00014166666666670002,0.001851880952380355,0.0050843902439002605,0.0035991428571437046,0.002669270180022755
lspFreq_sma[2]_quartile3 numeric,0.005459428571429856,0.000517404761904595,0.0037236585365837695,0.0009439047619049841,0.0026610991579558013
mfcc_sma_de[11]_max numeric,0.0020108571428576164,0.00253314285714204,0.0045918292682907156,0.001128476190476456,0.0025660763646917066
F0env_sma_quartile3 numeric,0.00029304761904768806,5.314285714284e-05,0.007219390243899344,0.00243666666666724,0.002500561846689278
mfcc_sma[7]_linregc2 numeric,0.000447666666666772,0.006608166666664536,0.00052073170731685,0.002244809523810052,0.0024553436411145525
mfcc_sma[8]_quartile1 numeric,0.002927238095238784,0.0018902619047612948,0.004328902439022535,0.0005626190476191801,0.0024272553716604486
mfcc_sma[4]_min numeric,0.0020561904761909598,0.000318119047618945,0.0016321951219505201,0.0056189047619060834,0.0024063523519166274
lspFreq_sma_de[0]_range numeric,0.006933571428573062,0.000324023809523705,3.243902439023e-05,0.001997904761905232,0.002321984756098057
mfcc_sma_de[4]_range numeric,0.00032704761904769604,0.00074547619047595,0.0006496341463411851,0.007501857142858909,0.0023060037746809353
voiceProb_sma_iqr1-2 numeric,0.002184904761905276,0.0037893809523797304,0.0016441463414627103,0.0013842857142860401,0.0022506794425084394
lspFreq_sma[0]_max numeric,0.00630214285714434,0.0021397380952374047,0.000314999999999865,0.000204000000000048,0.0022402202380954147
mfcc_sma_de[6]_min numeric,0.00016595238095242,0.00616457142856944,0.001325731707316505,0.0011066190476193081,0.0021907186411144184
voiceProb_sma_linregerrA numeric,0.0007488095238097001,0.000833309523809255,0.00042853658536567,0.006681000000001572,0.0021729139082465494
mfcc_sma[12]_quartile1 numeric,0.00051809523809536,0.00010480952380948998,0.005901341463412105,0.0020926190476195402,0.002154216318234124
mfcc_sma_de[11]_quartile1 numeric,0.0018602857142861523,0.00484485714285558,0.00156219512195055,0.000269571428571492,0.0021342273519159437
mfcc_sma_de[3]_range numeric,0.000544000000000128,3.395238095237e-05,0.00147682926829205,0.006410619047620555,0.002116350174216276
mfcc_sma_de[10]_linregerrQ numeric,0.00020157142857147605,0.00137138095238051,0.00416756097560797,0.0025378571428577405,0.002069592624854424
lspFreq_sma[2]_amean numeric,0.005406000000001273,0.00016090476190471002,0.002671097560974465,3.8047619047628e-05,0.002069012485482019
mfcc_sma_de[11]_iqr1-2 numeric,0.004309095238096252,0.002031976190475535,0.001561341463413965,0.000304380952381024,0.002051698461091694
mfcc_sma_de[3]_amean numeric,0.0034242857142865197,0.003860976190474945,0.000135731707317015,0.0006589523809525361,0.002019986498257754
mfcc_sma[2]_linregerrQ numeric,0.00040233333333342797,0.001221547619047225,0.000654756097560695,0.005792952380953745,0.002017897357723773
mfcc_sma[6]_linregerrA numeric,0.0005253809523810761,0.00031590476190466,0.00228439024390146,0.004903285714286868,0.002007240418118516
pcm_loudness_sma_linregerrQ numeric,0.0008046666666668559,0.000408166666666535,0.004134268292681155,0.002636619047619668,0.0019959301684085535
lspFreq_sma[6]_min numeric,0.00037076190476199205,0.0003247619047618,0.00618560975609491,0.001085571428571684,0.0019916762485475965
mfcc_sma[2]_linregerrA numeric,0.00017080952380956399,0.000238404761904685,0.00037731707317057003,0.007157000000001685,0.001985882839721626
mfcc_sma_de[3]_kurtosis numeric,0.00031652380952388405,0.00037199999999988,0.005095487804875865,0.0020691428571433437,0.001963288617885743
mfcc_sma_de[3]_iqr1-2 numeric,0.00012952380952384,0.0004288333333331949,0.0028170731707305,0.004316380952381968,0.0019229528164923758
mfcc_sma_de[10]_min numeric,0.003628285714286568,0.00026276190476181996,0.00026804878048769,0.003490666666667488,0.0019124407665508914
mfcc_sma_de[7]_stddev numeric,0.0019849523809528477,0.00349709523809411,0.0007230487804874951,0.0013802380952384202,0.0018963336236932184
mfcc_sma_de[4]_quartile3 numeric,0.001273380952381252,0.00232795238095163,0.000804999999999655,0.003143380952381692,0.0018874285714285573
mfcc_sma[2]_stddev numeric,0.000811952380952572,0.0006915952380950149,0.0010337804878044349,0.004963190476191644,0.0018751296457609166
mfcc_sma[8]_quartile3 numeric,0.0039577619047628364,0.00132561904761862,0.00100560975609713,0.0011867619047621842,0.0018689381533101926
