feature,button_w,button_no,vocal_w,vocal_no,mean_importance
F0env_sma_quartile1 numeric,0.00017485714285718403,3.2999999999988e-05,0.025980585365859427,0.016412499999993432,0.010650235627177509
mfcc_sma[4]_amean numeric,0.0062535714285729006,0.0046270714285697465,0.017361658536589223,0.006815833333330607,0.00876453368176562
mfcc_sma[4]_quartile3 numeric,0.004759190476191596,0.006576428571426181,0.01922048780488232,0.0020441666666658493,0.008150068379791486
voiceProb_sma_de_quartile1 numeric,0.008709666666668718,0.006867142857140361,0.013496487804881049,0.002436666666665692,0.007877490998838955
F0env_sma_quartile2 numeric,0.00055047619047632,0.000106857142857104,0.027328390243908512,0.002537499999998985,0.00763080589431023
voiceProb_sma_de_iqr1-3 numeric,0.006477000000001525,0.007358214285711611,0.014376292682930022,0.0021358333333324785,0.007586835075493909
mfcc_sma[4]_quartile1 numeric,0.006613000000001556,0.004291571428569868,0.015766243902442526,0.003202499999998719,0.007468328832753167
mfcc_sma[4]_quartile2 numeric,0.006315095238096725,0.005917999999997848,0.011710536585368456,0.004399166666664907,0.007085699622531983
voiceProb_sma_de_iqr1-2 numeric,0.007587666666668453,0.005499214285712286,0.009897365853660734,0.004264166666664961,0.006812103368176609
mfcc_sma[5]_quartile2 numeric,0.000954428571428796,0.020506357142849686,0.0028677073170738075,0.002201666666665786,0.00663253992450452
voiceProb_sma_de_quartile3 numeric,0.0060107142857157006,0.0065630714285690415,0.011138926829270767,0.002735833333332239,0.006612136469221938
mfcc_sma[5]_quartile1 numeric,0.001390761904762232,0.01771392857142213,0.0032136585365860797,0.00402499999999839,0.006585837253192207
mfcc_sma[4]_linregc2 numeric,0.005810761904763272,0.00892571428571104,0.008286146341465257,0.002579999999998968,0.006400655632984634
voiceProb_sma_de_skewness numeric,0.001016761904762144,0.000610499999999778,0.0102292682926852,0.013456666666661283,0.0063282992160271015
voiceProb_sma_de_linregerrA numeric,0.009254476190478369,0.005144857142855272,0.00915453658536789,0.001309999999999476,0.006215967479675251
voiceProb_sma_de_iqr2-3 numeric,0.00827333333333528,0.0036983571428557986,0.008463512195123831,0.002940833333332157,0.005844009001161768
mfcc_sma[5]_linregc2 numeric,0.0033198571428579237,0.01681349999999389,0.002043219512195576,0.0007324999999997069,0.005727269163761773
mfcc_sma[5]_quartile3 numeric,0.000555333333333464,0.019025285714278795,0.0008209756097562799,0.0024008333333323728,0.005700606997675228
F0_sma_de_kurtosis numeric,0.011272619047621701,0.001544714285713724,0.008235219512196952,0.00132499999999947,0.005594388211382961
F0env_sma_amean numeric,0.00029547619047626,0.00055785714285694,0.015541463414637599,0.005644999999997741,0.005509949186992135
F0_sma_de_linregerrQ numeric,0.010732666666669194,0.000729928571428306,0.008008682926831047,0.001354999999999458,0.0052065695412320005
voiceProb_sma_de_stddev numeric,0.0038120476190485167,0.006430285714283376,0.008590829268294593,0.0011233333333328839,0.004989123983739842
F0_sma_de_linregerrA numeric,0.0063280476190491096,0.0015800714285708539,0.010864097560978024,0.0010874999999995652,0.004964929152149388
F0_sma_de_stddev numeric,0.007427380952382701,0.000619928571428346,0.008488097560977495,0.002474166666665677,0.004752393437863555
voiceProb_sma_de_linregerrQ numeric,0.0030648571428578643,0.004742571428569704,0.009752487804880215,0.000755833333333031,0.004578937427410204
mfcc_sma[5]_amean numeric,0.0016830000000003962,0.01378535714285213,0.0016120975609759678,0.001213333333332848,0.0045734470092903354
voiceProb_sma_stddev numeric,0.000306000000000072,0.001349857142856652,0.00183073170731748,0.014459999999994215,0.004486647212542105
voiceProb_sma_linregerrQ numeric,0.0007990000000001881,0.0014928571428566,0.001050146341463648,0.014579166666660835,0.004480292537745317
mfcc_sma[6]_min numeric,0.000446047619047724,0.002381499999999134,0.0005514146341464639,0.013123333333328081,0.00412557389663035
lspFreq_sma_de[2]_amean numeric,0.012926476190479232,0.00025928571428562,0.0030117073170738396,0.000119999999999952,0.0040793673054596614
mfcc_sma[9]_linregc1 numeric,0.012775904761907769,0.00018071428571422,0.0007191219512196719,0.0018741666666659167,0.0038874769163768945
mfcc_sma_de[10]_linregerrA numeric,3.4000000000008e-05,0.00195642857142786,0.010031707317075398,0.0034499999999986195,0.003868033972125471
F0env_sma_linregc2 numeric,0.00021371428571433603,0.00013749999999995,0.011636780487807464,0.003394166666665308,0.0038455403600467647
F0_sma_de_skewness numeric,0.0006597619047620601,0.000131214285714238,0.011412000000002535,0.0028258333333322024,0.0037572023809527588
F0env_sma_quartile3 numeric,0.000343238095238176,0.0005382142857140899,0.008772585365855607,0.003194999999998722,0.0032122594367016487
voiceProb_sma_de_kurtosis numeric,0.0019161428571433082,0.0009640714285710781,0.004154048780488728,0.005809166666664343,0.0032108574332168644
mfcc_sma[6]_stddev numeric,0.0014207142857146202,0.000229428571428488,0.0007674146341465119,0.010134166666662612,0.003137931039488058
mfcc_sma_de[10]_linregerrQ numeric,0.00026714285714292,0.004330857142855568,0.0052243902439036,0.002639166666665611,0.003115389227641925
mfcc_sma_de[11]_max numeric,0.0031741428571436044,0.003934857142855712,0.0025981463414639916,0.0023841666666657127,0.003022828252032255
mfcc_sma_de[3]_min numeric,0.000876714285714492,0.000839142857142552,0.0025480975609761757,0.0077099999999969155,0.0029934886759575337
mfcc_sma[8]_linregc2 numeric,0.006381476190477692,0.001232785714285266,0.002890536585366496,0.0012774999999994891,0.0029455746225322357
mfcc_sma_de[3]_iqr1-2 numeric,0.00015138095238098801,0.000374785714285578,0.007685560975611464,0.00335833333333199,0.002892515243902505
mfcc_sma[3]_min numeric,0.000446857142857248,0.00071892857142831,0.0073492682926845606,0.0026524999999989387,0.0027918885017422642
mfcc_sma_de[6]_skewness numeric,0.00023476190476196,0.000590071428571214,0.00220829268292732,0.008048333333330113,0.0027703648373976516
mfcc_sma_de[10]_max numeric,0.000110095238095264,0.00038578571428557403,0.009914926829270495,0.00053333333333312,0.0027360352787461134
lspFreq_sma_de[6]_min numeric,0.001668428571428964,0.000254571428571336,0.007738243902440743,0.0012733333333328238,0.0027336443089434666
mfcc_sma[6]_linregerrQ numeric,0.002018142857143332,0.00025535714285705,0.00010624390243904799,0.008336666666663332,0.0026791026422756906
mfcc_sma[6]_amean numeric,0.00027119047619054,0.000523285714285524,0.00275707317073232,0.006894999999997242,0.0026116373403014064
lspFreq_sma_de[0]_range numeric,0.007420095238096984,0.000546857142856944,0.00018878048780491998,0.002264166666665761,0.002604974883856152
mfcc_sma[8]_quartile2 numeric,0.005948380952382352,0.001238285714285264,0.0021722926829273116,0.000743333333333036,0.0025255731707319908
mfcc_sma_de[12]_quartile2 numeric,0.000306000000000072,0.008790571428568232,0.000660292682926976,0.000171666666666598,0.002482132694540469
mfcc_sma_de[10]_stddev numeric,0.00023071428571434,0.0023956428571419858,0.0039046829268301352,0.003223333333332044,0.0024385933507546265
lspFreq_sma[2]_quartile2 numeric,0.005064380952382145,0.000191714285714216,0.0033049756097568318,0.001145833333332875,0.002426726045296517
mfcc_sma[10]_min numeric,0.000626571428571576,0.001053642857142474,0.0,0.007891666666663511,0.0023929702380943905
pcm_zcr_sma_max numeric,0.0020982857142862084,0.006986571428568889,0.00038546341463423196,9.4166666666629e-05,0.00239112180603899
mfcc_sma[2]_stddev numeric,0.00029466666666673604,0.0011416428571424419,0.001713073170732088,0.006340833333330797,0.0023725540069680154
mfcc_sma_de[3]_kurtosis numeric,0.00033190476190484,0.000241214285714198,0.005818829268293975,0.0030816666666654336,0.0023684037456446114
lspFreq_sma[2]_quartile3 numeric,0.0038509047619056684,0.000191714285714216,0.0041997073170741035,0.001131666666666214,0.0023434982578400504
mfcc_sma[12]_linregc2 numeric,0.00034647619047627204,0.00038107142857128997,0.0031425365853665517,0.005452499999997819,0.0023306460511029834
F0env_sma_de_linregc2 numeric,0.00019590476190480802,0.00055392857142837,0.0014180487804881198,0.007029166666663854,0.002299262195121288
mfcc_sma_de[4]_range numeric,3.5619047619056e-05,0.000238071428571342,0.00013785365853661598,0.008610833333329888,0.0022555943670142255
lspFreq_sma[2]_amean numeric,0.005471571428572716,0.000249071428571338,0.003126731707317768,0.00012499999999995,0.002243093641115443
lspFreq_sma_de[3]_linregc2 numeric,0.0017542380952385082,0.000230999999999916,0.00012292682926831998,0.006731666666663974,0.0022099578977926794
mfcc_sma_de[2]_max numeric,0.000247714285714344,0.0004305714285712721,0.000255512195122008,0.0077333333333302395,0.002166782810684466
mfcc_sma[12]_quartile1 numeric,6.6380952380968e-05,0.0002749999999999,0.00585658536585496,0.0022816666666657538,0.0021199082462253953
mfcc_sma[2]_linregerrA numeric,0.0005901428571429961,0.000586928571428358,0.000912292682927032,0.006364166666664122,0.002113382694540627
lspFreq_sma[0]_max numeric,0.005916809523810917,0.001844857142856472,0.00017648780487808797,0.000469166666666479,0.0021018302845529887
lspFreq_sma_de[4]_max numeric,0.0009439047619049841,0.007003071428568881,4.3024390243911994e-05,0.000324166666666537,0.002078541811846079
mfcc_sma[8]_quartile1 numeric,0.0029248095238102127,0.0014433571428566182,0.003160097560976312,0.000753333333333032,0.002070399390244044
mfcc_sma[3]_range numeric,0.000462238095238204,0.0006521428571426201,0.004357756097561944,0.002773333333332224,0.0020613675958187482
mfcc_sma[3]_quartile1 numeric,0.00104023809523834,0.00010528571428567601,0.005519414634147567,0.001496666666666068,0.0020404012775844128
mfcc_sma_de[7]_kurtosis numeric,0.007310809523811245,0.00014535714285709,0.000332780487804952,0.00026666666666656,0.0020139034552849617
lspFreq_sma[4]_linregc1 numeric,0.004822333333334468,0.000597928571428354,0.000187902439024432,0.002429999999999028,0.0020095410859465707
pcm_loudness_sma_de_linregc2 numeric,0.0016821904761908722,0.001024571428571056,0.0015102439024393599,0.0037641666666651612,0.0019952931184666124
mfcc_sma[7]_linregc2 numeric,0.0006492380952382481,0.005158999999998124,0.00016243902439027998,0.0019108333333325688,0.001970377613239805
pcm_zcr_sma_de_min numeric,0.0033959523809531803,0.0039922142857128345,0.00017385365853662399,0.00028333333333321995,0.0019613384146339647
mfcc_sma_de[3]_amean numeric,0.0033206666666674486,0.0025237142857133677,0.0,0.001931666666665894,0.0019440119047616775
voiceProb_sma_linregerrA numeric,0.000709952380952548,0.001026928571428198,0.0007182439024391838,0.0052866666666645514,0.0019354478803711203
mfcc_sma[8]_quartile3 numeric,0.004701714285715392,0.001206857142856704,0.00044692682926839196,0.0013391666666661309,0.0019236662311266548
mfcc_sma_de[7]_min numeric,0.006850190476192089,0.000325285714285596,0.00019229268292687198,0.000299166666666547,0.001916733885017776
mfcc_sma_de[3]_range numeric,3.8857142857152e-05,0.000170499999999938,0.002260097560976112,0.005154166666664605,0.0019059053426244519
pcm_zcr_sma_skewness numeric,0.005179333333334552,0.0012657857142852542,0.000235317073170784,0.0008991666666663069,0.0018949006968642245
pcm_zcr_sma_de_iqr1-2 numeric,0.00023071428571434,0.004913071428569642,0.000770048780487976,0.001522499999999391,0.0018590836236928375
pcm_loudness_sma_stddev numeric,0.001054809523809772,0.000395214285714142,0.0034630243902446715,0.002493333333332336,0.0018515953832752303
mfcc_sma[2]_linregerrQ numeric,0.00044523809523820007,0.000721285714285452,0.0009676097560977759,0.005214999999997913,0.0018372833914048353
mfcc_sma_de[6]_min numeric,0.00031571428571436003,0.0044785714285698,0.0013583414634149359,0.001193333333332856,0.0018364901277579879
mfcc_sma[4]_min numeric,0.0008070952380954281,0.000760571428571152,0.001042243902439256,0.0047008333333314525,0.0018276859756093222
mfcc_sma_de[3]_skewness numeric,0.003119904761905496,0.0031978571428559806,4.39024390244e-05,0.000879166666666315,0.001810207752613048
voiceProb_sma_iqr1-2 numeric,0.001519476190476548,0.002843499999998966,0.001051024390244136,0.001807499999999277,0.0018053751451797316
mfcc_sma_de[6]_range numeric,0.00074476190476208,0.0026698571428561716,0.0011124878048782959,0.002649166666665607,0.0017940683797905387
mfcc_sma[8]_amean numeric,0.0037448571428580243,0.000560214285714082,0.001223121951219784,0.0016391666666660109,0.0017918400116144753
pcm_zcr_sma_range numeric,0.0017680000000004162,0.005119714285712424,1.9317073170736e-05,0.00016916666666659896,0.0017690495063875438
mfcc_sma_de[3]_quartile3 numeric,0.0007399047619049362,0.00042899999999984406,0.001297756097561264,0.004587499999998164,0.001763540214866052
