feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[4]_quartile2 numeric,0.0044178947368447566,0.00188800000000118,0.007025384615386723,0.005593411764704483,0.004731172779234285
mfcc_sma[11]_max numeric,0.00019684210526327604,0.01645169230770259,0.0,0.0006501176470586611,0.004324663015006132
mfcc_sma_de[10]_amean numeric,0.00019473684210538002,0.014828923076932345,0.000666923076923277,8.329411764703799e-05,0.0039434692784020104
mfcc_sma[4]_quartile1 numeric,0.0048947368421082,0.00182400000000114,0.005384615384617,0.003297882352940352,0.0038503086449166732
mfcc_sma[6]_quartile1 numeric,0.0005315789473687401,0.00039507692307717,0.007307692307694499,0.006195529411763157,0.003607469397475892
mfcc_sma[4]_quartile3 numeric,0.0007963157894741621,0.00153969230769327,0.007307692307694499,0.004756941176469399,0.0036001603953328327
voiceProb_sma_de_skewness numeric,9.631578947374201e-05,0.001044307692308345,0.003846153846155,0.009276705882350621,0.003565870802571927
F0env_sma_amean numeric,0.000282105263158064,0.001257230769231555,0.008948461538464222,0.003226588235293311,0.0034285964515367883
voiceProb_sma_de_iqr2-3 numeric,0.003931578947370781,0.0003076923076925,0.008461538461541,0.000287999999999928,0.0032472024291510517
mfcc_sma_de[6]_range numeric,0.00030684210526334203,0.007744615384620224,0.0,0.004840235294116436,0.0032229231960000005
mfcc_sma[6]_amean numeric,0.0005257894736845261,0.000248000000000155,0.008950000000002685,0.0029124705882345656,0.0031590650154804827
voiceProb_sma_de_linregerrQ numeric,0.0017426315789484143,0.0006972307692312051,0.009717692307695223,0.000419999999999895,0.0031443886639686844
mfcc_sma[12]_quartile1 numeric,0.00235263157894878,0.00017784615384626502,0.006923076923078999,0.0030282352941168895,0.0031204474874977333
voiceProb_sma_de_quartile1 numeric,0.00354210526316002,0.00051569230769263,0.007411538461540685,0.0009663529411762289,0.003108922243392391
mfcc_sma[5]_quartile3 numeric,0.000264210526315948,0.00885046153846707,0.0011538461538465,0.0018098823529407238,0.0030196001428925605
voiceProb_sma_de_stddev numeric,0.002327368421054028,0.0010584615384622,0.008461538461541,9.247058823527101e-05,0.0029849597523231245
voiceProb_sma_de_quartile3 numeric,0.003494210526317886,0.000515076923077245,0.0065384615384635,0.001352470588234956,0.0029750548940233965
mfcc_sma[4]_amean numeric,0.000776842105263624,0.002310769230770675,0.005871538461540223,0.0028757647058816342,0.002958728625864039
mfcc_sma[12]_quartile2 numeric,0.0005689473684213941,0.000815384615385125,0.007033846153848263,0.0031447058823521547,0.002890721005001734
mfcc_sma[4]_linregc2 numeric,0.00182894736842215,0.00200369230769356,0.006923076923078999,0.000729882352940994,0.002871399738033926
F0env_sma_quartile1 numeric,0.0,0.00017784615384626502,0.009230769230772,0.0018861176470583519,0.0028236832579191544
mfcc_sma[9]_minPos numeric,0.00321315789473877,0.00800738461538962,0.0,6.6352941176454e-05,0.002821723862826211
mfcc_sma[8]_quartile2 numeric,0.003062631578949206,0.0003076923076925,0.000769230769231,0.007107529411762929,0.0028117710169089085
mfcc_sma[8]_linregc2 numeric,0.002001052631580148,0.000148307692307785,0.003640000000001092,0.00532941176470455,0.002779693022148394
mfcc_sma[5]_linregc2 numeric,0.001095789473684868,0.007401230769235395,0.0011538461538465,0.001452705882352578,0.0027758930697798353
voiceProb_sma_de_linregerrA numeric,0.0032552631578966905,0.0003076923076925,0.007048461538463652,0.000347294117646972,0.0027396777804249537
lspFreq_sma_de[3]_quartile2 numeric,9.631578947374201e-05,0.0006972307692312051,0.0,0.010051058823526898,0.0027111513455579613
lspFreq_sma[7]_amean numeric,0.0005963157894740421,0.00071876923076968,0.009333076923079723,0.000189176470588188,0.002709334603477908
mfcc_sma[5]_quartile1 numeric,0.000488421052631872,0.007476307692312365,0.0019230769230775,0.00081176470588215,0.0026748925934759723
F0env_sma_stddev numeric,3.684210526318e-05,0.000760000000000475,0.008640000000002592,0.0012232941176467528,0.00266503405572825
lspFreq_sma[2]_quartile2 numeric,0.004609473684213292,0.00078030769230818,0.004126923076924315,0.0010927058823526682,0.0026523525839496137
mfcc_sma[8]_amean numeric,0.002599473684212086,0.00022584615384629498,0.000769230769231,0.0066028235294101146,0.002549343534174874
mfcc_sma[5]_quartile2 numeric,0.000394210526316026,0.00551261538461883,0.002973076923077815,0.001312235294117319,0.0025480345320324977
voiceProb_sma_de_iqr1-3 numeric,0.002282105263159264,0.000243076923077075,0.007307692307694499,0.000334588235294034,0.0025418656823062184
voiceProb_sma_de_iqr1-2 numeric,0.0028478947368438144,0.0,0.0065384615384635,0.0006847058823527699,0.002517765539415021
mfcc_sma[3]_iqr1-2 numeric,0.009332105263163495,0.0003076923076925,0.0003846153846155,0.0,0.002506103238867874
F0_sma_de_kurtosis numeric,0.0021126315789486362,0.0010972307692314548,0.0065384615384635,0.00026964705882346197,0.0025044927363667632
F0env_sma_linregc2 numeric,0.000138421052631662,0.000741538461538925,0.007796153846156184,0.001267058823529095,0.0024857930459639666
mfcc_sma[8]_quartile3 numeric,0.0030426315789491946,0.0006135384615388451,0.0,0.006020470588233789,0.002419160157180457
mfcc_sma[8]_quartile1 numeric,0.0013815789473692502,8.184615384620501e-05,0.0065384615384635,0.001646117647058412,0.002412001071684342
voiceProb_sma_de_kurtosis numeric,0.0006557894736846042,0.0003076923076925,0.007026923076925184,0.0014929411764702148,0.0023708365086931257
mfcc_sma[11]_linregerrQ numeric,0.00495000000000297,0.001302769230770045,0.0,0.002932941176469855,0.0022964276018107178
mfcc_sma[9]_max numeric,0.0003278947368423021,0.006791384615388861,0.0003846153846155,0.001425176470587879,0.0022322678018586355
mfcc_sma[12]_iqr1-3 numeric,0.006574210526319735,0.00075815384615432,0.000769230769231,0.000724235294117466,0.0022064576089556305
mfcc_sma[5]_amean numeric,0.0,0.005899692307695995,0.002307692307693,0.00048070588235282096,0.002172022624435454
F0env_sma_linregerrQ numeric,0.000677368421053038,0.00025353846153861997,0.006923076923078999,0.000706588235293941,0.0021401430102411497
lspFreq_sma[6]_min numeric,0.000208421052631704,0.000159384615384715,0.007411538461540685,0.000669176470588068,0.0021121301500362927
mfcc_sma_de[6]_min numeric,0.00035421052631600205,0.003551384615386835,0.0,0.0043588235294106745,0.0020661046677783778
lspFreq_sma[3]_quartile1 numeric,0.00026842105263174,0.00108800000000068,0.006153846153848,0.000746117647058637,0.0020640962133847644
mfcc_sma_de[8]_linregerrA numeric,0.00027000000000016204,0.00039630769230794,0.0008715384615387231,0.006611294117645406,0.0020372850678730577
mfcc_sma_de[7]_min numeric,0.003734210526318031,0.0034443076923098446,0.000769230769231,0.000104470588235268,0.002013054894023536
mfcc_sma[10]_linregc2 numeric,0.0029752631578965224,0.0003076923076925,0.0031792307692317225,0.001535999999999616,0.00199954655870509
mfcc_sma_de[10]_max numeric,0.000141578947368506,0.000942153846154435,0.0065384615384635,0.0003529411764705,0.0019937838771142352
mfcc_sma_de[7]_kurtosis numeric,0.007083684210530567,0.000428923076923345,0.000102307692307723,0.000349411764705795,0.0019910816861168574
voiceProb_sma_linregerrQ numeric,0.000155789473684304,0.0006972307692312051,0.005488461538463185,0.001572705882352548,0.0019785469159328104
mfcc_sma_de[6]_skewness numeric,0.0,0.00117661538461612,0.002307692307693,0.004408941176469486,0.0019733122171946517
F0_sma_de_stddev numeric,0.0021478947368433945,0.000494153846154155,0.0050000000000015,0.00021952941176465099,0.001965394498690925
F0_sma_de_linregerrA numeric,0.00116052631579017,0.00028061538461556,0.006153846153848,0.00024917647058817296,0.0019610410812104756
mfcc_sma[2]_kurtosis numeric,0.000970000000000582,0.00029046153846172,0.003076923076924,0.0033896470588226824,0.001931757918552246
lspFreq_sma_de[7]_kurtosis numeric,0.00198157894736961,0.00102646153846218,0.002033846153846764,0.0025037647058817267,0.0018864128363900701
mfcc_sma[10]_maxPos numeric,0.000285263157894908,0.006037538461542235,0.0,0.001162588235293827,0.0018713474636827426
F0env_sma_quartile2 numeric,0.00031421052631597804,0.00043753846153873503,0.0057692307692325,0.000859058823529197,0.0018450096451541026
F0env_sma_de_amean numeric,0.0022563157894750384,0.00260430769230932,0.000110769230769264,0.002347058823528825,0.001829612884020612
pcm_loudness_sma_iqr1-2 numeric,0.0021189473684223243,0.000470769230769525,0.004355384615385921,0.000295058823529338,0.0018100400095267771
mfcc_sma_de[11]_linregerrA numeric,0.00021263157894749603,0.000408000000000255,0.0041938461538474124,0.0023562352941170583,0.0017926782567280553
mfcc_sma[6]_min numeric,0.00039842105263181805,0.003225230769232785,0.0,0.0035032941176461833,0.0017817364848776965
lspFreq_sma_de[6]_kurtosis numeric,0.000327368421052828,0.0009230769230775001,0.002973076923077815,0.002903294117646333,0.001781704096213619
mfcc_sma_de[3]_iqr2-3 numeric,0.00030526315789492,0.00038953846153870497,0.0003846153846155,0.006014117647057319,0.001773383662776611
mfcc_sma_de[7]_quartile3 numeric,0.00016684210526325802,0.00039076923076947494,0.0003846153846155,0.006094588235292595,0.001759203738985207
mfcc_sma[2]_iqr2-3 numeric,0.0017610526315800042,0.000433846153846425,0.003357692307693315,0.001407529411764354,0.0017400301262210243
mfcc_sma[12]_linregc2 numeric,0.002184736842106574,0.00021907692307705998,0.001538461538462,0.002961176470587495,0.0017258629435582822
lspFreq_sma_de[3]_quartile1 numeric,0.002618947368422624,0.0,0.003359230769231777,0.000761647058823339,0.001684956299119435
mfcc_sma_de[2]_iqr1-3 numeric,0.00039684210526339604,0.000351384615384835,0.002483846153846899,0.003382588235293272,0.0016536652774471004
mfcc_sma[6]_iqr1-2 numeric,0.000198947368421172,0.001012307692308325,0.004333076923078223,0.001066588235293851,0.0016527300547753928
mfcc_sma[6]_linregc2 numeric,5.473684210529601e-05,0.0007156923076927549,0.0014361538461542772,0.004387058823528315,0.0016484104548701607
