feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[4]_amean numeric,0.0034900000000020947,0.0014608461538474058,0.007615384615385999,0.005177647058826636,0.004435969457015534
mfcc_sma[4]_linregc2 numeric,0.001967894736843286,0.0020892307692325597,0.010153846153848,0.001184705882353652,0.0038489193855693743
mfcc_sma[4]_quartile2 numeric,0.002132105263159174,0.001920692307693954,0.007192307692309,0.003937647058825892,0.003795688080497005
mfcc_sma[8]_quartile3 numeric,0.007451052631583418,0.0005858461538466559,0.0007336153846155181,0.006057647058827164,0.0037070403072181892
mfcc_sma[12]_quartile1 numeric,0.0013021052631586759,0.00073500000000063,0.011000000000002,0.001753529411765758,0.0036976586687317656
mfcc_sma[8]_quartile2 numeric,0.009188421052637093,0.000538461538462,0.001269230769231,0.0036464705882374823,0.0036606459871418935
voiceProb_sma_de_linregerrA numeric,0.002432105263159354,0.000217538461538648,0.011423076923079,5.3529411764738004e-05,0.0035315625148854353
mfcc_sma[4]_quartile3 numeric,0.001501052631579848,0.001201846153847184,0.008997153846155482,0.0023288235294131624,0.0035072190402489194
mfcc_sma[4]_quartile1 numeric,0.0028178947368437965,0.0006289230769236159,0.004653846153847,0.005377647058826757,0.0033695777566102925
mfcc_sma[2]_linregerrA numeric,5.0526315789504006e-05,0.0,0.000846153846154,0.012529411764713401,0.0033565229816642263
mfcc_sma[5]_linregc2 numeric,0.0008394736842110299,0.008944923076930743,0.001804846153846482,0.001422352941177324,0.0032528989640413946
voiceProb_sma_de_skewness numeric,0.001443684210527182,0.0007737692307698939,0.001269230769231,0.00928529411765263,0.0031929945820451766
mfcc_sma[8]_linregc2 numeric,0.00443684210526582,0.0006633846153851839,0.001529000000000278,0.0061158823529448465,0.003186277268399032
mfcc_sma[11]_max numeric,0.00033210526315809397,0.011968923076933336,0.000423076923077,0.0,0.0031810263157921073
mfcc_sma[6]_quartile1 numeric,0.0008184210526320702,0.00034084615384644595,0.007192307692309,0.004321176470590828,0.0031681878423445863
F0_sma_de_kurtosis numeric,0.00164736842105362,0.000538461538462,0.009843307692309481,0.000412941176470836,0.0031105197070739844
voiceProb_sma_de_quartile1 numeric,0.0031221052631597683,0.001143692307693288,0.007729615384616789,0.00016588235294127599,0.0030403238271027805
F0env_sma_quartile1 numeric,0.0006642105263161879,0.0006208461538466859,0.007615384615385999,0.0030894117647077366,0.0029974632650641526
mfcc_sma[5]_quartile2 numeric,0.00031315789473703007,0.004190846153849745,0.0029615384615390003,0.004047647058825958,0.0028782973922379333
voiceProb_sma_de_iqr1-3 numeric,0.003012105263159702,0.000394153846154184,0.006906307692308949,0.001164117647059522,0.0028691711121705894
mfcc_sma[8]_amean numeric,0.004426842105265815,0.0010435384615393559,0.002538461538462,0.003462352941178548,0.0028677987616114297
