feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[4]_amean numeric,0.0060112105263152435,0.0038510769230802235,0.008151000000001482,0.00366176470588455,0.005418763038820374
voiceProb_sma_de_iqr1-3 numeric,0.006669473684209921,0.00048623076923118595,0.013538461538464,6.9411764705924e-05,0.005190894439152758
mfcc_sma[4]_quartile1 numeric,0.00397678947368385,0.0014549230769243238,0.009730769230771,0.004375882352943802,0.004884591033580744
voiceProb_sma_de_iqr1-2 numeric,0.007129736842104616,0.000269230769231,0.009307692307694,0.00022058823529425,0.004231812038580966
mfcc_sma[6]_amean numeric,0.001683578947368268,0.0008286923076930179,0.009852615384617177,0.004058235294120082,0.004105780483449636
voiceProb_sma_de_iqr2-3 numeric,0.004509999999999591,7.1615384615446e-05,0.01111423076923279,0.00041823529411789804,0.0040285203619914315
mfcc_sma[8]_linregc2 numeric,0.00397099999999964,0.00019169230769247199,0.006346153846155,0.004439411764708546,0.0037370644796389145
mfcc_sma[4]_quartile2 numeric,0.0036902105263154545,0.002313230769232752,0.004766384615385482,0.0036529411764727802,0.0036056917718516176
F0env_sma_quartile1 numeric,0.00035315789473681,7.269230769237e-05,0.009307692307694,0.0042294117647084205,0.0034907385687079
mfcc_sma[4]_stddev numeric,0.007136105263157246,0.0037148461538493377,0.000649846153846272,0.001709411764706908,0.0033025523338899407
voiceProb_sma_de_skewness numeric,0.00029352631578944706,0.00012492307692318398,0.003384615384616,0.009333529411770305,0.003284148547274734
mfcc_sma[5]_quartile1 numeric,0.0013558947368419822,0.0052047692307736915,0.00278807692307743,0.003540000000002124,0.003222185222673807
mfcc_sma[2]_linregerrA numeric,0.0007115263157894089,0.0,0.002115384615385,0.009982941176476579,0.0032024630269127468
voiceProb_sma_de_linregerrA numeric,0.0038876315789470157,0.00033707692307721195,0.008038461538463,0.000395294117647296,0.003164616039533631
mfcc_sma[4]_linregc2 numeric,0.0027100526315787014,0.0016218461538475438,0.007615384615385999,0.000572352941176814,0.0031299090854972644
mfcc_sma[8]_quartile1 numeric,0.0025352105263155593,0.0009051538461546218,0.0038076923076929997,0.005048235294120676,0.003074072993570964
mfcc_sma[6]_quartile1 numeric,0.0009089473684209701,0.00012492307692318398,0.007006153846155119,0.003914117647061172,0.002988535484640111
F0env_sma_amean numeric,0.00017078947368419503,0.000264384615384842,0.010153846153848,0.0012305882352948562,0.002954902119552973
mfcc_sma[12]_quartile2 numeric,0.0012157894736841,0.00036076923076953997,0.009307692307694,0.00077941176470635,0.0029159156942134973
voiceProb_sma_de_quartile1 numeric,0.00499573684210481,0.00060038461538513,0.00561423076923179,0.000272941176470752,0.0028708233507981204
F0env_sma_linregerrQ numeric,0.0017055789473682662,0.00025307692307714,0.008038461538463,0.001460000000000876,0.0028642793522273206
mfcc_sma_de[6]_range numeric,0.00028773684210523697,0.004553230769234672,0.0,0.006587058823533364,0.0028570066087183184
F0env_sma_stddev numeric,0.0021015789473682297,0.0,0.008038461538463,0.0011929411764713042,0.0028332454155756332
lspFreq_sma_de[5]_max numeric,0.0,0.001991230769232476,0.00423076923077,0.0050829411764736375,0.0028262352941190285
lspFreq_sma_de[3]_iqr1-2 numeric,0.005583368421052125,0.0,0.003264461538462132,0.0022282352941189842,0.00276901631340831
mfcc_sma[4]_quartile3 numeric,0.000458526315789432,0.0010607692307701398,0.005726769230770272,0.0037794117647081504,0.002756369135509499
mfcc_sma[12]_quartile1 numeric,0.000637421052631521,0.00022184615384634397,0.007192307692309,0.00277647058823696,0.0027070113717559564
mfcc_sma[5]_quartile2 numeric,0.000280789473684185,0.006172923076928368,0.002115384615385,0.002025882352942392,0.002648744879734986
lspFreq_sma[7]_amean numeric,0.000745105263157827,0.000394153846154184,0.009307692307694,7.705882352945801e-05,0.002631002560133867
mfcc_sma[11]_max numeric,0.000595736842105209,0.009480153846161972,0.000423076923077,0.0,0.0026247419028360454
F0_sma_de_linregerrQ numeric,0.0034898947368417884,0.0010408461538470458,0.005076923076924,0.0006923529411768859,0.0025750042271974302
mfcc_sma[5]_amean numeric,0.0016239473684209053,0.005282307692312219,0.001692307692308,0.0016823529411774802,0.002570228923554651
mfcc_sma_de[2]_max numeric,0.000101894736842096,0.004802538461542578,0.0,0.005364117647062043,0.0025671377113616793
mfcc_sma[8]_quartile3 numeric,0.002850736842105004,0.001247615384616454,0.0,0.00615588235294487,0.002563558644916582
lspFreq_sma_de[3]_quartile1 numeric,0.0058276842105257865,0.0,0.0029615384615390003,0.00142647058823615,0.002553923315075234
F0env_sma_quartile2 numeric,6.0210526315784007e-05,0.00046576923076962996,0.00846153846154,0.00116470588235364,0.0025380560252447637
mfcc_sma[8]_amean numeric,0.003388578947368113,0.00106884615384707,0.001692307692308,0.0038341176470611245,0.002495962610146077
mfcc_sma_de[7]_min numeric,0.005739684210525794,0.004086384615388117,0.0,0.0,0.0024565172064784776
lspFreq_sma_de[5]_min numeric,0.00020552631578945498,0.00019653846153862997,0.009307692307694,9.9411764705942e-05,0.0024522922124320065
mfcc_sma[12]_amean numeric,0.000208999999999981,7.269230769237e-05,0.004653846153847,0.00482941176470878,0.0024412375565620328
lspFreq_sma[2]_quartile2 numeric,0.003612052631578619,0.00044423076923114996,0.0044575384615392726,0.0009323529411770301,0.0023615437008815176
mfcc_sma_de[10]_max numeric,0.000100157894736833,0.0015238461538474599,0.007615384615385999,0.000142352941176556,0.002345435401286712
lspFreq_sma[5]_amean numeric,0.001147473684210422,0.0,0.008038461538463,0.000174117647058928,0.0023400132174330878
F0env_sma_linregc2 numeric,0.0006310526315788901,0.0008981538461546159,0.006769230769232,0.0009911764705888301,0.002322403429388584
voiceProb_sma_de_quartile3 numeric,0.003698894736841769,0.000163153846153986,0.00423076923077,0.001062352941177108,0.0022887926887357156
voiceProb_sma_de_stddev numeric,0.0009263157894736001,0.0011781538461548557,0.00646038461538579,0.000581764705882702,0.002286654739224237
F0env_sma_iqr2-3 numeric,0.00011289473684209501,0.000269230769231,0.008151000000001482,0.0005952941176474159,0.0022821049059304982
mfcc_sma_de[2]_skewness numeric,0.000387315789473649,0.005510615384620107,0.002538461538462,0.000647647058823918,0.0022710099428449185
mfcc_sma[5]_linregc2 numeric,0.001219263157894626,0.006372692307697769,0.001381769230769482,6.9411764705924e-05,0.00226078411526695
F0_sma_de_kurtosis numeric,0.004465421052631173,0.000269230769231,0.00423076923077,5.0588235294148e-05,0.00225400232198158
voiceProb_sma_de_linregerrQ numeric,0.000936736842105178,0.0019255384615401118,0.00484000000000088,0.001109411764706548,0.0022029217670881795
F0_sma_de_stddev numeric,0.00408157894736805,0.000528769230769684,0.00392192307692379,0.000175294117647164,0.0021768913431771723
lspFreq_sma[7]_linregc2 numeric,0.0006304736842104691,0.000728538461539086,0.006769230769232,0.00018882352941187802,0.0020792666110983583
