feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[4]_linregc2 numeric,0.001748842105261992,0.00258584615384777,0.007796153846156184,0.0041825882352914566,0.0040783575851393505
mfcc_sma[5]_quartile1 numeric,0.00031026315789453,0.00846276923077452,0.0019230769230775,0.005397764705878918,0.004023468504406367
mfcc_sma[4]_amean numeric,0.001396421052630648,0.00180800000000113,0.0088461538461565,0.003783352941174063,0.003958481959990585
mfcc_sma[8]_linregc2 numeric,0.004816894736838894,0.00039076923076947494,0.003640000000001092,0.005967823529407968,0.003703871874254357
mfcc_sma[8]_quartile1 numeric,0.006744789473679714,0.001397538461539335,0.0019230769230775,0.004174823529409108,0.003560057096926414
mfcc_sma[8]_quartile3 numeric,0.0061460526315748505,0.00100061538461601,0.000486923076923223,0.006310764705878337,0.003486088949748105
voiceProb_sma_de_kurtosis numeric,0.00037847368421027404,0.000474461538461835,0.010488461538464684,0.0025895294117630582,0.0034827315432249626
voiceProb_sma_de_linregerrA numeric,0.002753052631577112,0.0003076923076925,0.010495384615387763,0.000114529411764633,0.003417664741605502
mfcc_sma[5]_linregc2 numeric,0.00090236842105203,0.0101784615384679,0.000769230769231,0.001757411764704764,0.0034018681233639234
mfcc_sma[5]_quartile2 numeric,0.000191368421052504,0.006339076923080886,0.002411538461539185,0.004660117647055858,0.0034005253631821082
mfcc_sma[4]_quartile1 numeric,0.002167578947366976,0.001152615384616105,0.005486923076924722,0.004365705882350163,0.0032932058228144915
lspFreq_sma_de[6]_min numeric,0.0037212631578922564,0.0005784615384619,0.0080769230769255,0.000350058823529189,0.0031816766492022116
mfcc_sma_de[6]_range numeric,0.00030505263157874405,0.00472123076923372,0.0,0.007534352941171676,0.003140159085496035
mfcc_sma_de[2]_max numeric,0.00046989473684179206,0.005592000000003494,0.00028230769230777695,0.006029294117643222,0.003093374136699071
mfcc_sma[4]_quartile3 numeric,0.00112026315789399,0.0004061538461541,0.005203846153847715,0.005554352941172936,0.0030711540247671852
lspFreq_sma_de[0]_linregc2 numeric,0.00039268421052605397,0.00045046153846182,0.0,0.011359117647051597,0.0030505658490098675
mfcc_sma[11]_max numeric,4.499999999997e-05,0.011996923076930574,0.0,0.0,0.003010480769232636
mfcc_sma[8]_quartile2 numeric,0.003860052631576374,0.0013138461538469751,0.0,0.006748176470583941,0.0029805188140018227
mfcc_sma[4]_quartile2 numeric,0.0009402631578941101,0.001256000000000785,0.006923076923078999,0.0027305882352923806,0.0029624820790665686
