feature,button_w,button_no,vocal_w,vocal_no,mean_importance
lspFreq_sma_de[4]_linregerrQ numeric,0.009257379310349843,0.007425793103445889,0.000254692307692526,0.01321865517241609,0.0075391299734760865
mfcc_sma_de[5]_iqr1-3 numeric,0.014719448275870042,0.0012822068965513119,0.0,0.012803068965519469,0.0072011810344852056
lspFreq_sma_de[0]_linregerrA numeric,0.00357517241379504,0.02376234482757857,7.269230769237e-05,8.0103448275876e-05,0.0068725782493354644
pcm_zcr_sma_linregerrQ numeric,0.001311724137931745,0.023619448275854476,0.0007199230769236939,0.0004956896551725,0.006536696286470604
pcm_zcr_sma_linregerrA numeric,0.000465931034483011,0.0227079999999927,0.0010397692307701218,0.00024903448275866396,0.006115683687001124
mfcc_sma[1]_stddev numeric,0.00024082758620702703,0.02314151724137187,0.0,0.00040051724137938,0.00594571551723957
mfcc_sma_de[1]_stddev numeric,0.002231172413794312,0.020442896551717563,0.0,0.0,0.0056685172413779685
mfcc_sma_de[1]_linregerrQ numeric,0.0020714482758631913,0.01962896551723507,7.269230769237e-05,0.000744724137931164,0.005629457559680449
lspFreq_sma[0]_linregerrA numeric,0.001137103448276478,0.020327034482752086,0.00035700000000030597,0.000399724137931104,0.0055552155172399935
lspFreq_sma[0]_linregerrQ numeric,0.000778758620690077,0.020569379310338216,7.269230769237e-05,0.00036879310344834003,0.005447405835542251
pcm_zcr_sma_de_quartile3 numeric,0.000400551724138148,0.0145011034482712,0.000793153846154526,0.005867379310345848,0.0053905470822274305
lspFreq_sma[0]_stddev numeric,0.001248000000000676,0.019621241379304037,0.00035969230769261596,0.000300586206896604,0.005382379973473483
pcm_zcr_sma_stddev numeric,0.000299586206896714,0.01974482758620055,0.000275692307692544,0.000683655172413912,0.005250940318300929
pcm_zcr_sma_amean numeric,0.0,0.01895117241378701,0.0005352307692312279,0.0012848275862071198,0.00519280769230634
mfcc_sma_de[5]_quartile1 numeric,0.003842482758622771,0.0032006896551713846,7.269230769237e-05,0.013347137931036803,0.005115750663130832
mfcc_sma_de[9]_iqr1-2 numeric,0.005683862068968597,0.013161931034478528,0.000413538461538816,0.00040924137931041594,0.00491714323607409
lspFreq_sma_de[0]_stddev numeric,0.001046068965517808,0.018607448275856087,0.0,0.0,0.004913379310343474
lspFreq_sma_de[0]_quartile3 numeric,0.003121655172415484,0.014360137931029866,0.00034515384615414193,0.00104293103448294,0.0047174694960206084
lspFreq_sma_de[4]_stddev numeric,0.005400827586209822,0.002189793103447572,0.000538461538462,0.010398379310346637,0.004631865384616508
mfcc_sma_de[4]_iqr1-2 numeric,0.00037241379310365,0.003407310344826491,7.753846153852799e-05,0.014320275862071455,0.0045443846153850305
lspFreq_sma[4]_linregerrQ numeric,0.011319724137937167,0.0011711724137927271,0.002207153846155738,0.002366620689655584,0.0042661677718853035
mfcc_sma[2]_iqr1-2 numeric,0.0037522758620709986,0.0,0.00046684615384655397,0.012321655172415936,0.004135194297083372
lspFreq_sma[1]_quartile3 numeric,0.00018537931034492803,0.012688827586202817,0.00019653846153862997,0.0033659310344833437,0.004109169098142429
pcm_zcr_sma_de_linregerrA numeric,0.000643034482758969,0.015527448275857076,7.1615384615446e-05,0.000191137931034516,0.004108309018566502
mfcc_sma[4]_amean numeric,0.0066024827586242665,0.0021637241379303387,0.001411307692308902,0.005207517241380215,0.0038462579575609303
mfcc_sma[8]_iqr2-3 numeric,0.000238344827586336,0.0,0.0004819230769234899,0.014416241379312853,0.00378412732095567
mfcc_sma[1]_amean numeric,0.0,0.014882482758615905,7.753846153852799e-05,0.000172103448275892,0.0037830311671075813
lspFreq_sma[4]_iqr2-3 numeric,0.0065172413793138755,0.0,0.0,0.00860675862069115,0.0037810000000012564
mfcc_sma[8]_linregc2 numeric,0.014011034482766211,6.9517241379288e-05,0.0007705384615391219,5.4724137931043994e-05,0.0037264535809039163
mfcc_sma_de[7]_iqr2-3 numeric,0.001600551724138798,0.000159310344827535,0.012115384615394999,0.001017551724138108,0.00372319960212486
lspFreq_sma[1]_amean numeric,4.8000000000025995e-05,0.013284551724133661,0.000139461538461658,0.00135224137931058,0.003706063660476481
lspFreq_sma[0]_amean numeric,0.0,0.014169931034478203,0.00034569230769260396,7.6931034482772e-05,0.0036481385941633947
mfcc_sma[8]_skewness numeric,0.0,0.0,0.000538461538462,0.014048241379312787,0.0036466757294436967
lspFreq_sma[1]_quartile2 numeric,0.000228413793103572,0.01330482758620262,7.1615384615446e-05,0.000966793103448444,0.0036429124668425207
lspFreq_sma_de[0]_iqr1-2 numeric,0.0010063448275867521,0.006905379310342607,0.001302538461539578,0.005309827586207821,0.0036310225464191897
pcm_zcr_sma_de_stddev numeric,5.2965517241408e-05,0.013065379310340627,0.0,0.001022310344827764,0.0035351637931024496
mfcc_sma[5]_kurtosis numeric,0.0005842758620692819,0.001204965517240992,0.0003419230769233699,0.011891000000002068,0.003505541114058928
lspFreq_sma_de[4]_linregerrA numeric,0.00046675862068990795,0.003955724137929763,0.0006111538461543699,0.008487793103449751,0.003380357427055948
lspFreq_sma_de[0]_linregerrQ numeric,0.0008739310344832321,0.01180634482758241,0.00015076923076935998,0.0003172413793104,0.0032870716180363507
mfcc_sma[4]_quartile3 numeric,0.000330206896551903,0.00040648275862055895,0.0016153846153859998,0.01067517241379496,0.0032568116710883555
lspFreq_sma[3]_iqr2-3 numeric,0.0,0.0,0.001409692307693516,0.011549965517243388,0.0032399144562342257
pcm_zcr_sma_quartile3 numeric,0.000184551724138031,0.012115310344823691,0.000275692307692544,0.00037910344827592803,0.0032386644562325483
mfcc_sma_de[5]_iqr2-3 numeric,0.003681931034484753,0.003528965517240245,0.0007199230769236939,0.0048276206896560115,0.0031896100795761754
lspFreq_sma_de[4]_quartile3 numeric,0.000913655172414288,0.00307034482758522,7.1615384615446e-05,0.008659103448277368,0.0031786797082230802
mfcc_sma_de[1]_linregerrA numeric,0.006580137931038047,0.005883862068963626,0.00016530769230783398,0.0,0.0031573269230773765
