feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[3]_min numeric,0.000729285714286006,0.006461000000003976,0.012324878048777613,0.005043047619049195,0.006139552845529197
mfcc_sma[4]_quartile3 numeric,0.004790714285716201,0.004220047619050216,0.014582195121947816,0.000649904761904965,0.0060607154471548
mfcc_sma[5]_quartile2 numeric,0.005040000000002016,0.008744666666672047,0.004178780487803903,0.0038590476190488252,0.005455623693381697
mfcc_sma[5]_amean numeric,0.0044214285714303395,0.009294380952386671,0.0030629268292675775,0.002670476190477025,0.004862303135890403
mfcc_sma[4]_quartile2 numeric,0.006012857142859548,0.00279190476190648,0.00959999999999776,0.0006841904761906901,0.004772238095238619
mfcc_sma[4]_amean numeric,0.007076428571431401,0.00330261904762108,0.005387560975608499,0.0029889523809533145,0.004688890243903574
mfcc_sma[5]_quartile1 numeric,0.003347857142858481,0.007336952380956895,0.0042878048780477795,0.0029782857142866452,0.00448772502903745
mfcc_sma_de[10]_linregerrQ numeric,0.000326428571428702,0.0025059047619063034,0.004366097560974591,0.010653714285717616,0.004463036295006803
mfcc_sma_de[10]_max numeric,0.0006221428571431061,0.00017085714285724798,0.013987317073167468,0.001862857142857725,0.004160793554006387
mfcc_sma[4]_quartile1 numeric,0.007955714285717468,0.002462571428572944,0.004340487804877035,0.0010659047619050951,0.0039561695702681355
F0env_sma_quartile1 numeric,0.00035285714285728404,0.00039309523809547995,0.008222926829266373,0.00608761904762095,0.003764124564460022
mfcc_sma[5]_linregc2 numeric,0.006675714285716955,0.0035100000000021603,0.002035609756097086,0.0026628571428579753,0.003721045296168544
mfcc_sma_de[10]_stddev numeric,0.000122857142857192,0.0026767619047635524,0.0038604878048771473,0.00793447619047867,0.0036486457607441403
mfcc_sma[4]_linregc2 numeric,0.004257857142858846,0.0038337619047642637,0.004448780487803839,0.0018902857142863048,0.003607671312428314
mfcc_sma_de[7]_linregerrQ numeric,0.0025185714285724356,0.008593619047624335,0.0009080487804875929,0.002080761904762555,0.0035252502903617296
mfcc_sma[12]_kurtosis numeric,0.00035285714285728404,0.000360285714285936,0.0046887804878037835,0.008555428571431246,0.0034893379790945627
mfcc_sma_de[7]_iqr1-2 numeric,0.000635000000000254,0.006548904761908792,0.000375365853658449,0.005558095238096975,0.003279341463416118
mfcc_sma[12]_min numeric,0.00028142857142868396,0.000995428571429184,0.004532926829267234,0.006825142857144991,0.0031587317073175233
mfcc_sma[8]_amean numeric,0.0087500000000035,0.0008338571428576561,0.00144146341463381,0.00145371428571474,0.0031197587108024267
mfcc_sma[6]_min numeric,0.000297857142857262,0.000734190476190928,0.002889512195121277,0.008497523809526465,0.003104770905923983
mfcc_sma_de[11]_max numeric,0.000511428571428776,0.006299428571432448,0.0014334146341460068,0.00412342857142986,0.003091925087109273
mfcc_sma_de[7]_stddev numeric,0.0022857142857152,0.008253761904766984,0.001091707317072916,0.00071314285714308,0.003086081591174545
mfcc_sma_de[3]_iqr1-2 numeric,0.00039428571428587196,0.0006660952380956479,0.007232195121949532,0.00352914285714396,0.0029554297328687534
lspFreq_sma[5]_linregerrQ numeric,0.000245714285714384,7.242857142861599e-05,0.002599756097560369,0.008883047619050396,0.002950236643438441
mfcc_sma[8]_quartile1 numeric,0.006825714285717016,0.0010369047619054,0.002816341463413977,0.0009104761904764749,0.002897359175378217
mfcc_sma[8]_quartile2 numeric,0.00892142857143214,0.0006784761904766081,0.001284878048780188,0.00037561904761916496,0.002815100464577025
mfcc_sma_de[2]_kurtosis numeric,0.000208571428571512,0.000648761904762304,0.00220243902438973,0.00792076190476438,0.0027451335656219814
mfcc_sma[12]_skewness numeric,0.000683571428571702,0.000242047619047768,0.0045292682926818695,0.0055131428571445805,0.00274200754936148
F0_sma_de_skewness numeric,0.001225714285714776,0.000263714285714448,0.008394146341461454,0.0008236190476193051,0.002676798490127496
mfcc_sma[12]_linregerrQ numeric,0.000363571428571574,0.000442000000000272,0.0031126829268285417,0.0067375238095259155,0.0026639445412315757
voiceProb_sma_de_iqr1-3 numeric,0.005177142857144928,0.0023957142857157603,0.0018402439024385949,0.00113828571428607,0.0026378466898963385
mfcc_sma[5]_quartile3 numeric,0.0022071428571437397,0.004517190476193256,0.001527804878048424,0.0021485714285721,0.00260017740998938
mfcc_sma_de[10]_linregerrA numeric,0.000180000000000072,0.00124428571428648,0.0038187804878039864,0.00503923809523967,0.002570576074332552
voiceProb_sma_de_linregerrA numeric,0.0038400000000015358,0.002650142857144488,0.002696341463414005,0.000960761904762205,0.0025368115563305584
mfcc_sma_de[7]_linregerrA numeric,0.00155714285714348,0.00585619047619408,0.000523170731707195,0.002120380952381615,0.0025142212543565923
F0env_sma_amean numeric,0.000409285714285878,0.000234619047619192,0.007898780487803035,0.001171047619047985,0.002428433217189022
F0env_sma_quartile2 numeric,0.000163571428571494,0.00033057142857163195,0.007330975609754387,0.0012700952380956352,0.002273803426248287
F0_sma_de_linregerrQ numeric,0.004242142857144554,0.000394333333333576,0.004009024390242966,0.00042971428571441994,0.0022688037166088792
mfcc_sma_de[8]_stddev numeric,0.000306428571428694,0.00260619047619208,0.004666829268291594,0.0014803809523814152,0.002264957317073446
mfcc_sma[4]_min numeric,0.00048071428571447804,0.000352238095238312,0.0014143902439021088,0.006636190476192549,0.002220883275261862
mfcc_sma_de[4]_range numeric,0.000552142857143078,0.000171476190476296,0.000989268292682696,0.007115428571430795,0.0022070789779332165
voiceProb_sma_de_quartile1 numeric,0.004340714285716022,0.001782238095239192,0.0017019512195117978,0.0008609523809526501,0.002171463995354915
voiceProb_sma_de_skewness numeric,0.00045857142857161197,0.000486571428571728,0.0034653658536577276,0.00414019047619177,0.0021376747967482095
mfcc_sma[3]_range numeric,0.00047500000000019,0.000162190476190576,0.006695853658535023,0.0011992380952384701,0.002133070557491065
mfcc_sma_de[7]_range numeric,0.0069285714285742,0.000274238095238264,0.00047121951219501203,0.000812952380952635,0.002121745354240028
mfcc_sma[8]_quartile3 numeric,0.005594285714287951,0.000763285714286184,0.001575365853658169,0.0005394285714287399,0.002118091463415261
F0env_sma_de_linregc2 numeric,8.928571428575e-05,0.00021852380952394398,0.0036358536585357364,0.004524190476191891,0.0021169634146343303
mfcc_sma[12]_stddev numeric,6.428571428574e-05,0.00036523809523832,0.002955365853657847,0.005080380952382541,0.0021163176538911118
mfcc_sma[9]_linregc1 numeric,0.0052950000000021175,0.000156000000000096,0.0015431707317069571,0.0013843809523813853,0.002094637921022639
mfcc_sma_de[7]_quartile1 numeric,0.000513571428571634,0.0038418095238118882,0.0009651219512192868,0.0029942857142866495,0.0020786971544723646
F0_sma_de_kurtosis numeric,0.004729285714287605,0.000325619047619248,0.0026165853658530478,0.00058819047619066,0.0020649201509876404
mfcc_sma_de[8]_linregerrQ numeric,0.0007728571428574521,0.0027572380952397917,0.0037382926829259574,0.0009363809523812448,0.002051192218351112
F0env_sma_quartile3 numeric,0.0007685714285717359,0.000388761904762144,0.00635121951219364,0.000686476190476405,0.0020487572590009813
voiceProb_sma_de_stddev numeric,0.0025978571428581817,0.002777047619049328,0.002237560975609234,0.00053180952380969,0.002036068815331608
mfcc_sma[12]_linregerrA numeric,0.000479285714285906,2.2285714285728e-05,0.003040243902438315,0.00452876190476332,0.002017644308943317
mfcc_sma_de[12]_kurtosis numeric,0.00018428571428578798,0.000307047619047808,0.0028346341463408023,0.00472685714285862,0.0020132061556332546
voiceProb_sma_de_quartile3 numeric,0.0028300000000011315,0.0025436666666682323,0.001888536585365413,0.000736761904762135,0.001999741289199228
