feature,button_w,button_no,vocal_w,vocal_no,mean_importance
mfcc_sma[4]_quartile2 numeric,0.004555826086956237,0.005352068965519759,0.009807,0.0023582800000000004,0.005518293763118999
voiceProb_sma_de_iqr1-3 numeric,0.004710956521738837,0.006164551724140831,0.007950750000000001,0.00279148,0.005404434561469917
voiceProb_sma_de_iqr2-3 numeric,0.005762782608695292,0.003927000000001847,0.007796249999999999,0.0030225200000000003,0.005127138152174285
mfcc_sma[10]_min numeric,0.000581565217391268,0.0,0.00066825,0.018556160000000002,0.004951493804347818
F0_sma_de_linregerrQ numeric,0.006822260869564791,0.0008482413793107441,0.0067785,0.0052136,0.004915650562218883
voiceProb_sma_de_quartile1 numeric,0.006665739130434365,0.0043525862068986,0.00528975,0.0029677999999999996,0.004818968834333241
voiceProb_sma_de_linregerrA numeric,0.006997565217390867,0.003437517241380928,0.00657075,0.00175788,0.004690928114692949
mfcc_sma[6]_min numeric,0.0013266086956520912,0.0006958275862072239,0.002091,0.01460872,0.004680539070464829
mfcc_sma[4]_amean numeric,0.0028535652173911265,0.0036860689655189758,0.009781499999999999,0.0023484,0.0046673835457275254
voiceProb_sma_de_quartile3 numeric,0.007021913043477823,0.0050396206896575445,0.004101,0.0024221200000000003,0.004646163433283842
F0env_sma_quartile1 numeric,0.00011199999999999302,5.803448275864799e-05,0.012731999999999999,0.00563844,0.00463511862068966
mfcc_sma[5]_quartile1 numeric,0.0011853913043477521,0.014127000000006648,0.001014,0.0015230399999999998,0.0044623578260886
mfcc_sma[4]_quartile1 numeric,0.00419686956521713,0.00342637931034644,0.00899625,0.0008686799999999999,0.004372044718890892
F0_sma_de_stddev numeric,0.005562434782608349,0.0005592413793106079,0.007081500000000001,0.0035036000000000004,0.004176694040479739
F0_sma_de_linregerrA numeric,0.006230260869564829,0.001016482758621168,0.0061372499999999995,0.00275804,0.004035508407046499
mfcc_sma[4]_quartile3 numeric,0.004071652173912789,0.00463396551724356,0.00652575,0.00074708,0.003994611922789088
F0env_sma_quartile2 numeric,0.0006052173913043099,0.0,0.01352475,0.00165376,0.003945931847826077
